"days","degdays","subj","taxon","counts","fracBySubjDay"
1,27,"A5","Gregarinasina",0,0
1,27,"A5","Liliopsida",218,0.0183888654576128
1,27,"A5","Litostomatea",1884,0.158920286798819
1,27,"A5","Malasseziales",4,0.000337410375369043
1,27,"A5","Metakinetoplastina",7,0.000590468156895825
1,27,"A5","Mucorales",408,0.0344158582876423
1,27,"A5","Peronosporomycetes",3,0.000253057781526782
1,27,"A5","Pleosporales",367,0.0309574019401097
1,27,"A5","Ranunculales",0,0
1,27,"A5","Rare",411,0.0346689160691691
1,27,"A5","Rhabditida",2660,0.224377899620413
1,27,"A5","Saccharomycetales",1530,0.129059468578659
1,27,"A5","Spirotrichea",4,0.000337410375369043
1,27,"A5","Sporidiobolales",79,0.00666385491353859
1,27,"A5","Taphrinales",4,0.000337410375369043
1,27,"A5","Tremellales",32,0.00269928300295234
1,27,"A5","Trichosporonales",1735,0.146351750316322
1,27,"A5","Ustilaginales",4,0.000337410375369043
1,27,"A6","Acari",273,0.0143578415904071
1,27,"A6","Ascaridida",8,0.000420742610707899
1,27,"A6","Capnodiales",441,0.023193436415273
1,27,"A6","Chromulinales",0,0
1,27,"A6","Coccidia",11,0.000578521089723362
1,27,"A6","Coleoptera",5,0.000262964131692437
1,27,"A6","Collembola",0,0
1,27,"A6","Conthreep",16,0.000841485221415799
1,27,"A6","Diptera",15780,0.829914799621332
1,27,"A6","Eurotiales",239,0.0125696854948985
1,27,"A6","Eustigmatales",0,0
1,27,"A6","Fabales",2,0.000105185652676975
1,27,"A6","Filobasidiales",161,0.00846744504049648
1,27,"A6","Gregarinasina",0,0
1,27,"A6","Liliopsida",131,0.00688966025034185
1,27,"A6","Litostomatea",148,0.00778373829809614
1,27,"A6","Malasseziales",4,0.00021037130535395
1,27,"A6","Metakinetoplastina",2,0.000105185652676975
1,27,"A6","Mucorales",142,0.00746818134006522
1,27,"A6","Peronosporomycetes",1,5.25928263384874e-05
1,27,"A6","Pleosporales",225,0.0118333859261597
1,27,"A6","Ranunculales",0,0
1,27,"A6","Rare",202,0.0106237509203745
1,27,"A6","Rhabditida",120,0.00631113916061849
1,27,"A6","Saccharomycetales",584,0.0307142105816767
1,27,"A6","Spirotrichea",5,0.000262964131692437
1,27,"A6","Sporidiobolales",24,0.0012622278321237
1,27,"A6","Taphrinales",2,0.000105185652676975
1,27,"A6","Tremellales",14,0.000736299568738824
1,27,"A6","Trichosporonales",474,0.024928999684443
1,27,"A6","Ustilaginales",0,0
2,57,"A1","Acari",0,0
2,57,"A1","Ascaridida",0,0
2,57,"A1","Capnodiales",8,0.00231615518239722
2,57,"A1","Chromulinales",0,0
2,57,"A1","Coccidia",0,0
2,57,"A1","Coleoptera",2,0.000579038795599305
