"days","degdays","subj","Actinobacteria","Bacteroidetes","Chloroflexi","Cyanobacteria","Firmicutes","Fusobacteria","Proteobacteria","Tenericutes","TM7","Verrucomicrobia","Actinomycetales","Bacillales","Bacteroidales","Bifidobacteriales","Burkholderiales","Caulobacterales","Clostridiales","Enterobacteriales","Flavobacteriales","Fusobacteriales","JG30_KF_CM45","Lactobacillales","Pseudomonadales","Rhizobiales","Rhodobacterales","Rhodospirillales","Sphingobacteriales","Streptophyta","Turicibacterales","Verrucomicrobiales","Xanthomonadales","Actinomycetaceae","Aerococcaceae","Alcaligenaceae","Bacillaceae","Bifidobacteriaceae","Bradyrhizobiaceae","Brevibacteriaceae","Carnobacteriaceae","Caulobacteraceae","Christensenellaceae","Clostridiaceae","Comamonadaceae","Corynebacteriaceae","Dermabacteraceae","Dietziaceae","Enterobacteriaceae","Enterococcaceae","Flavobacteriaceae","Fusobacteriaceae","Intrasporangiaceae","Lachnospiraceae","Lactobacillaceae","Leuconostocaceae","Listeriaceae","Methylobacteriaceae","Microbacteriaceae","Micrococcaceae","Moraxellaceae","Oxalobacteraceae","Paraprevotellaceae","Peptostreptococcaceae","Planococcaceae","Porphyromonadaceae","Prevotellaceae","Pseudomonadaceae","Rhizobiaceae","Rhodobacteraceae","Rhodospirillaceae","Rikenellaceae","Ruminococcaceae","Sphingobacteriaceae","Sphingomonadaceae","Staphylococcaceae","Streptococcaceae","Streptomycetaceae","Tissierellaceae","Turicibacteraceae","Veillonellaceae","Verrucomicrobiaceae","Weeksellaceae","Xanthomonadaceae"
0,0,"A1",0.299015380192612,0.130911312347276,0.0234655742417709,0.00467155383067414,0.424644243208279,0,0.105828661779503,0.000251545206267069,0.00158114129653586,3.59350294667242e-05,0.29703958310234,0.071072180951325,0.0851535646967513,0.00661566322947851,0.00968326126325905,0.0017370735853938,0.228369737960602,0.00325239309605647,0.0281997265033078,0,0.022508038585209,0.116531766271205,0.0502272979265994,0.0126030232472188,0.00480467161917434,0.000295672099641498,0.00680045829175444,0.000110877037365562,0.0100898104002661,0,0.00805706471523081,0.00147754137115839,0.053339243498818,0.00192080378250591,0.00985027580772262,0.00881599684791174,0.00216706067769898,0.0545212765957447,0.0208825847123719,0.00231481481481481,0.011968085106383,0.12711780929866,0.00847123719464145,0.0555063041765169,0.0397951142631994,0.0173857368006304,0.00433412135539795,0.0246256895193065,0.0168439716312057,0,0.0137411347517731,0.0227048857368006,0.0354117415287628,0.00241331757289204,0.000295508274231678,0.000738770685579196,0.00650118203309693,0.0151201733648542,0.0469858156028369,0.0018715524034673,0.0225078802206462,0.0060086682427108,0.0359042553191489,0.00364460204885737,0.0127561071710008,0.0199468085106383,0.00206855791962175,0.0064026792750197,0.000295508274231678,0,0.0351654846335697,0.00906225374310481,0.00467888100866824,0.0401891252955083,0.0162529550827423,0,0.0561465721040189,0.0134456264775414,0.0145784081954295,0,0.0191587864460205,0.0107368006304177
0,0,"A2",0.262490241998439,0.205308352849336,0.00987509758001561,0.000546448087431694,0.353044496487119,0.000292740046838407,0.161455893832943,0.00357142857142857,0.00080015612802498,0.000312256049960968,0.262407931442792,0.0624962369799506,0.0472635318200975,0.00467617958135148,0.016256246613282,0.00830874826901078,0.214963774660325,0.00184638850422462,0.116021434162201,0.000301041603949666,0.0099745118108656,0.0678146386497281,0.0895297730146306,0.0151724968390632,0.0130049972906256,0.000120416641579866,0.0277359664438959,0,0.00923194252112309,0.000100347201316555,0.0106970116603448,0.00213733628252603,0.0249273057136466,0.00159057583815891,0.00929492755424112,0.00579069016079728,0.000298232969654795,0.0199319034719288,0.0275119914506549,0.0102890374530904,0.00482143300941919,0.122871983497776,0.0141412133111315,0.0403360091458111,0.025921415612496,0.0250267167035316,0.00228645276735343,0.00849963963516167,0.0220195342595124,0.000298232969654795,0.0111091781196411,0.0168253100380247,0.013445336381937,0.00106866814126302,2.48527474712329e-05,0,0.00653627258493426,0.0260705320973234,0.109327236125954,0.00420011432263837,0.0150607649675672,0.00377761761562741,0.0253498024206576,0.00551730993861371,0.00683450555458906,0.00154087034321644,0.00136690111091781,0.0160548748664165,0,2.48527474712329e-05,0.0270149365012302,0.0343464970052439,0.00330541541367398,0.037875587146159,0.00725700226160002,0.000223674727241097,0.053234585083381,0.0114322638367672,0.0146879737554987,0.000124263737356165,0.121157143922261,0.0131968089072247
0,0,"A3",0.329765397470205,0.0986663227692341,0.0158730158730159,0.000472858969812253,0.455492149466422,0.000139708331989984,0.092873800389034,0.000526592943654555,0.00104243909254065,0.000591073712265317,0.322642501807981,0.0900922618395389,0.0592689180600907,0.00867831079748417,0.00821809734610243,0.0023668120356775,0.238171418553177,0.00299138743398128,0.0264074861388091,0.000142447020665775,0.015888321535798,0.116280598715785,0.0459884727487892,0.0117025706208499,0.00291468519208433,0.000164361946922049,0.00562117858473406,3.28723893844097e-05,0.0103767175823453,3.28723893844097e-05,0.0073415002958515,0.00304793973787718,0.0496233617323909,0.00256897777906791,0.015805744640706,0.0114950870114225,0.000319307972539514,0.047054383953323,0.0245141438917836,0.00313502373038796,0.0112338350338902,0.120117853669865,0.00724248537714626,0.0627295026052628,0.0376928547584145,0.0211033541851115,0.00396232165924034,0.023991639936719,0.0108419570675917,0.000101597991262573,0.0167636685583245,0.0177070784771912,0.0330048331615843,0.00194487583274068,0,5.80559950071844e-05,0.00730054137215344,0.0168072105545799,0.0576205750446305,0.000812783930100582,0.0162556786020116,0.00834554928228276,0.0352399889693609,0.00358495769169364,0.0160815106169901,0.00329467771665772,0.000986951915122135,0.00386072366797776,0.000116111990014369,0,0.0282006995747398,0.0074456813596714,0.000769241933845194,0.0441951261992191,0.018577918402299,0.00210452981901044,0.0864598905644494,0.0137447568179509,0.0146736527380659,4.35419962553883e-05,0.0236433039666759,0.009680837167448
0,0,"A4",0.338862254550798,0.131206259987877,0.0257159126393711,0.000404107198618688,0.381109825315479,0.000257159126393711,0.116548189783435,0.000698003343068643,0.00108374203265921,0.000569423779871788,0.338296706411443,0.0930065569433684,0.0603352166436764,0.00791746187713762,0.0148145348727348,0.00234311520946316,0.186655580960299,0.00391149071257157,0.0405888021768296,0.000264545265584551,0.0262088773832694,0.0987131762438351,0.0531924944728936,0.0130571984656375,0.00462954214772963,0.000245649175185654,0.0143988208839591,0,0.00530980140208991,0.000245649175185654,0.0126981727480584,0.00380909701994174,0.0464311499489631,0.00637339109219011,0.0153110762566286,0.0104314487016705,0.000224064530584808,0.0614185774391914,0.0200911195757712,0.00308711131027958,0.00428212214006523,0.110787462344711,0.0121243807105335,0.0725222197326163,0.0484477307242264,0.0186969402743546,0.00515348420345059,0.0191948614534319,0.0243981377747902,0.000224064530584808,0.0175766176214305,0.0136430403067194,0.02407448900839,0.00136928324246272,0,4.97921179077352e-05,0.00565140538252795,0.00659745562277491,0.0641073518062091,0.000871362063385366,0.008838100928623,0.0052281723803122,0.0352528194786765,0.0125725097717031,0.015236388079767,0.00597505414892822,0.00171782806781686,0.00609953444369756,9.95842358154704e-05,4.97921179077352e-05,0.0141658575447507,0.0189707969228471,0.00189210048049394,0.0633355739786392,0.0158338934946598,0.000124480294769338,0.0662733089351956,0.0069957925660368,0.0079916349241915,0.000323648766400279,0.0279831702641472,0.0166803594990913
0,0,"A5",0.295089020208283,0.181330431371557,0.0259405013476407,0.000695964670302555,0.354182747668518,0.000151846837156921,0.133043137155656,0.000784541991977425,0.00115150518177332,0.000695964670302555,0.300294548864732,0.0733994637361476,0.0793432749078709,0.00460975577540319,0.0143972315048409,0.00207372967546791,0.175566973543436,0.00475504893737865,0.0629647730124556,0.000158501631245955,0.0268264010883779,0.106169675996249,0.0665971020618421,0.0105007330700445,0.00503242679205907,0.00021133550832794,0.0127461728460289,0,0.00589097729464132,0.000250960916139429,0.0145953585438983,0.0030761254644431,0.059932601745442,0.00696448630432904,0.0114922664823296,0.00603127970275642,8.6408018664132e-05,0.0523459777067312,0.022396958437743,0.00271321178605375,0.00803594573576428,0.0812235375442841,0.0104035254471615,0.0541087012874795,0.0490970362049598,0.0169705348656355,0.00622137734381751,0.0161582994901927,0.046487514041303,0.000172816037328264,0.0165903395835134,0.0187851032575823,0.0236585155102393,0.00126155707249633,1.72816037328264e-05,0,0.00610040611768772,0.00478700423399291,0.0777153719865203,0.00120971226129785,0.0210835565540482,0.00542642357210749,0.0305538753996371,0.0138771277974596,0.0146029551542383,0.00941847403439039,0.00146893631729024,0.00658429102220686,0.000155534433595438,3.45632074656528e-05,0.0306230018145684,0.0166767476021775,0.000604856130648924,0.0461764451741122,0.0133759612892076,3.45632074656528e-05,0.0463492612114404,0.00770759526484058,0.00950488205305452,0.000328350470923702,0.0325931046401106,0.0190270457098419
0,0,"A6",0.25168448249658,0.106692334971376,0.00883192326527855,0.000810578043467248,0.277808737355827,0.000253305638583515,0.347974399243461,0.00165493017207896,0.000709255788033842,0.00050661127716703,0.250913520097442,0.0778164725257759,0.00820023674323652,0.00253898543514436,0.0159887461186118,0.00471770942341013,0.126743408073287,0.209655006776346,0.0753461083186084,0.00025732960491328,0.0087320512600573,0.0651558559640425,0.0859309327340413,0.00996723336364104,0.00655332727179153,0.000120087148959531,0.0134840712974559,0.000102931841965312,0.00749686915647356,0.000188708376936405,0.0162289204165309,0.00108366729369428,0.0211212889506829,0.00200376216569886,0.00993702461764946,0.00302608980125951,0.000204465527112129,0.0184836836509365,0.0229819252474033,0.00562280199558354,0.00216733458738857,0.0785965486219024,0.0159483111147461,0.0428764210354134,0.0176249284370655,0.0163163490635479,0.249877320683733,0.00944630735258035,0.0270916823423571,0.000102232763556064,0.0104481884354298,0.00670646928927783,0.0170115318557291,0.000960987977427006,2.04465527112129e-05,0.000122679316267277,0.0079332624519506,0.0262942667866198,0.0996156048090292,0.000960987977427006,0.0020651018238325,0.00306698290668193,0.0416291813200294,0.0014312586897849,0.000899648319293367,0.00280117772143617,0.000204465527112129,0.00779013658297211,2.04465527112129e-05,0,0.0071358468962133,0.0160709904310133,0.00155393800605218,0.0368446879856056,0.00533655025762656,0.000408931054224258,0.0395436329434857,0.00893514353480003,0.00337368119735013,0.000224912079823342,0.0625460047436002,0.0193219923120962
1,27,"A1",0.345624077635168,0.067930772326819,0.0141541075980502,0.000693171146192031,0.512186395957247,0.000178882876436653,0.056012700684227,0.000380126112427888,0.000223603595545816,0.00026832431465498,0.338787864994652,0.0727372038507931,0.0397141491613373,0.0104007829035709,0.00505245909101254,0.00104690593777737,0.324677393659391,0.00204829422608616,0.0195043127972871,0.000182070597874326,0.0141559889847288,0.098796058171556,0.0221215776417306,0.00728282391497303,0.00336830606067503,4.55176494685814e-05,0.00286761191652063,0,0.0153849655203805,0,0.00516625321468399,0.004412673197423,0.0384196746388962,0.00202982967081458,0.0242402847645103,0.0134439443414821,0.000294178213161533,0.059865266378372,0.0180625422881181,0.00135321978054305,0.00829582561115524,0.247962815873856,0.00364780984320301,0.0555996822875298,0.0491865972406084,0.0202100432441973,0.0026476039184538,0.0212690848115789,0.00923719589327214,8.825346394846e-05,0.0167681581502074,0.0127084988085782,0.0283293619274557,0.00155914452975613,0,8.825346394846e-05,0.00405965934162916,0.013620451269379,0.0266231282911188,0.00052952078369076,0.0129144235577913,0.00714853057982526,0.0155620274762451,0.00329479598740917,0.00676609890271527,0.00197099402818227,0.000676609890271527,0.00435383755479069,5.88356426323067e-05,0,0.0230341540905481,0.00370664548583532,0.000411849498426147,0.0428617656576354,0.0181213779307504,0.000470685141058453,0.0829288382902362,0.0198864472097196,0.008825346394846,0,0.0152090136204513,0.0066778454387668
1,27,"A2",0.407427221256297,0.0556149971022246,0.0152021755606081,0.000222905800008916,0.434554857117382,0,0.0833221880433329,0.000668717400026749,0.000579555080023182,0.000178324640007133,0.407854643945379,0.155670917503668,0.017198961742467,0.00252793138471956,0.00625211601399391,0.00124139487642478,0.179076853628259,0.00178309445886469,0.0265658503554904,0,0.0150547342286424,0.0887484482564045,0.0545085204830155,0.00625211601399391,0.00246021893691457,0,0.005687845615619,0,0.011172553887823,2.25708159349961e-05,0.00758379415415867,0.00151569186875892,0.0464514978601997,0.00246671421778412,0.0230325725154541,0.00332857822158821,5.94388968140751e-05,0.0507013789824061,0.026866381359962,0.00163456966238707,0.00288278649548264,0.142564194008559,0.00511174512601046,0.0860378031383738,0.0542677127912506,0.0231514503090823,0.00234783642415597,0.0153352353780314,0.010282929148835,0,0.0185152163575844,0.00662743699476938,0.0159890632429862,0.00104018069424631,0,0.000297194484070376,0.00698407037565383,0.0282037565382787,0.0700190204469805,0.000416072277698526,0.00478483119353305,0.00380408939610081,0.0475808368996671,0.00264503090822634,0.00320970042796006,0.00175344745601522,0.000802425106990014,0.00323941987636709,0,0,0.00805397051830718,0.00748930099857347,0.000445791726105563,0.124019258202568,0.00906443176414646,0.00011887779362815,0.0554267712791251,0.0147111269614836,0.00317998097955302,2.97194484070376e-05,0.0243402282453638,0.00995601521635758
1,27,"A3",0.315478841870824,0.0713251670378619,0.0106347438752784,0.000723830734966592,0.53847438752784,0.000167037861915367,0.0592984409799555,0.000612472160356347,0.000389755011135857,0.000334075723830735,0.310207336523126,0.0762702210070631,0.0425495557074504,0.00996810207336523,0.00609478241057188,0.000797448165869219,0.340852130325815,0.00290498974709501,0.0168603326498063,0.000170881749829118,0.0108794714057872,0.110218728639781,0.0265436318067897,0.00603782182729551,0.00290498974709501,5.69605832763727e-05,0.00336067441330599,0,0.0121895648211438,0,0.00632262474367738,0.00273420636062743,0.0451144049503526,0.00323787595337459,0.0201467837098863,0.0125917398186789,7.19527989638797e-05,0.0557634191970068,0.0196431141171392,0.00100733918549432,0.00661965750467693,0.205209382644985,0.00381349834508562,0.0639660382788891,0.0405094258166643,0.0145344653907037,0.00366959274715786,0.0241041876528997,0.0110087782414736,0.000215858396891639,0.0199309253129947,0.0151100877824147,0.0273420636062743,0.00259030076269967,0,0,0.0049647431285077,0.00323787595337459,0.0302201755648295,0.000575622391711038,0.0108648726435458,0.0106490142466542,0.0169089077565117,0.0046049791336883,0.0049647431285077,0.00330982875233847,0.00129515038134983,0.00366959274715786,7.19527989638797e-05,0,0.0261188660238883,0.0042452151388689,0.000863433587566556,0.0461217441358469,0.0189955389264642,0,0.130810188516333,0.0153978989782703,0.00733918549431573,0,0.00949776946323212,0.00798676068499065
1,27,"A4",0.295360543781461,0.0318381480650229,0.00453685594280035,0.000112219051588701,0.427907275000802,1.60312930841002e-05,0.238850235660008,0,0.000320625861682003,3.20625861682003e-05,0.29467297109752,0.104006971452547,0.0050349379508448,0.00119418400116191,0.004195781625704,0.00117804637952459,0.195136120838511,0.0866428905707877,0.0207691190472348,1.61376216373231e-05,0.00434102022043991,0.120338244549518,0.129520551261155,0.00863362757596785,0.00282408378653154,0.000129100973098585,0.00501880032920748,0,0.00606774573563348,1.61376216373231e-05,0.0050994884373941,0.00112716879352683,0.0310776538786683,0.00108691276518659,0.00752787729962562,0.00148947304858903,0.000140896099190854,0.0100036230425506,0.0632220925083531,0.0014693450344189,0.00154985709109939,0.118433235376998,0.00378406666398293,0.0519101485447446,0.0146531943158488,0.0177931645263878,0.108067308079385,0.0420071655730446,0.00112716879352683,2.0128014170122e-05,0.0077895414838372,0.00579686808099513,0.00789018155468781,0.000503200354253049,2.0128014170122e-05,0.000422688297572561,0.00557545992512379,0.0356064570669458,0.161185137474337,0.00020128014170122,0.000422688297572561,0.00941991063161709,0.0561772875488104,0.000603840425103659,0.000623968439273781,0.000362304255062196,0.000603840425103659,0.00352240247977135,4.0256028340244e-05,8.05120566804879e-05,0.00245561772875488,0.00625981240690793,0.000744736524294513,0.0616118513747434,0.00360291453645183,0.000644096453443903,0.0955275552513989,0.00756813332796586,0.000986272694335977,2.0128014170122e-05,0.02475745742925,0.00630006843524818
