"dayOmit","subjOmit","subjactual","yactual","yhat","resid"
0,"A1","A1",0,142.931683333333,-142.931683333333
0,"A1","A2",0,314.441016666667,-314.441016666667
0,"A1","A3",0,139.1552,-139.1552
0,"A1","A4",0,178.992716666667,-178.992716666667
0,"A1","A5",0,220.955772222222,-220.955772222222
0,"A1","A6",0,240.127272222222,-240.127272222222
0,"A1","A1",27,57.1306444444444,-30.1306444444444
0,"A1","A1",57,243.019483333333,-186.019483333333
0,"A1","A1",87,162.768933333333,-75.7689333333333
0,"A1","A1",149,265.718888888889,-116.718888888889
0,"A1","A1",326,379.732327777778,-53.7323277777776
0,"A1","A1",390,378.431088888889,11.5689111111112
0,"A1","A1",448,370.186472222222,77.8135277777779
0,"A1","A1",734,448.642811111111,285.357188888889
0,"A1","A1",930,906.401050000001,23.5989499999988
0,"A1","A1",1130,1090.21497222222,39.7850277777784
0,"A1","A1",1326,1251.73988888889,74.2601111111123
0,"A1","A1",1516,1256.96411666667,259.035883333335
0,"A1","A1",1703,1350.35342777778,352.646572222222
0,"A2","A1",0,129.801222222222,-129.801222222222
0,"A2","A2",0,224.411716666667,-224.411716666667
0,"A2","A3",0,102.846105555556,-102.846105555556
0,"A2","A4",0,135.692644444444,-135.692644444444
0,"A2","A5",0,179.384866666667,-179.384866666667
0,"A2","A6",0,213.144227777778,-213.144227777778
0,"A2","A2",27,83.3972388888889,-56.3972388888889
0,"A2","A2",57,107.698461111111,-50.6984611111111
0,"A2","A2",87,140.739416666667,-53.7394166666667
0,"A2","A2",149,381.194983333334,-232.194983333334
0,"A2","A2",209,381.274666666666,-172.274666666666
0,"A2","A2",267,325.547022222222,-58.547022222222
0,"A2","A2",326,405.632994444444,-79.6329944444444
0,"A2","A2",390,348.746988888889,41.2530111111113
0,"A2","A2",448,389.247494444444,58.7525055555558
0,"A2","A2",734,834.825538888888,-100.825538888888
0,"A2","A2",930,1266.99812222222,-336.998122222221
0,"A2","A2",1130,1455.43714444445,-325.437144444446
0,"A2","A2",1326,1275.79408333333,50.2059166666681
0,"A2","A2",1516,1471.58136666667,44.4186333333316
0,"A2","A2",1703,1387.32568333334,315.674316666665
0,"A3","A1",0,150.559138888889,-150.559138888889
0,"A3","A2",0,194.671527777778,-194.671527777778
0,"A3","A3",0,142.845544444444,-142.845544444444
0,"A3","A4",0,140.336411111111,-140.336411111111
0,"A3","A5",0,196.248083333333,-196.248083333333
0,"A3","A6",0,251.970527777778,-251.970527777778
0,"A3","A3",27,98.6669,-71.6669
0,"A3","A3",57,215.764344444445,-158.764344444445
0,"A3","A3",87,364.854633333333,-277.854633333333
0,"A3","A3",149,359.914894444444,-210.914894444444
0,"A3","A3",209,272.343555555555,-63.3435555555552
0,"A3","A3",267,395.242005555555,-128.242005555555
0,"A3","A3",326,463.045183333333,-137.045183333333
0,"A3","A3",390,442.75486111111,-52.7548611111105
0,"A3","A3",448,584.887022222222,-136.887022222222
0,"A3","A3",734,408.985155555555,325.014844444445
0,"A3","A3",930,860.112699999999,69.8873000000009
0,"A3","A3",1326,1032.61329444445,293.386705555555
0,"A3","A3",1516,1280.30479444444,235.695205555557
0,"A3","A3",1703,1273.55322222222,429.446777777778
0,"A4","A1",0,119.899766666667,-119.899766666667
0,"A4","A2",0,318.801516666667,-318.801516666667
0,"A4","A3",0,106.932438888889,-106.932438888889
0,"A4","A4",0,148.197183333333,-148.197183333333
0,"A4","A5",0,179.156038888889,-179.156038888889
0,"A4","A6",0,293.509366666667,-293.509366666667
0,"A4","A4",27,134.100066666667,-107.100066666667
0,"A4","A4",57,156.796766666667,-99.7967666666668
0,"A4","A4",87,258.208983333333,-171.208983333333
0,"A4","A4",149,305.791355555555,-156.791355555555
0,"A4","A4",267,558.101205555556,-291.101205555556
0,"A4","A4",326,421.329205555555,-95.3292055555554
0,"A4","A4",390,488.175411111111,-98.1754111111114
0,"A4","A4",448,403.889211111111,44.110788888889
0,"A4","A4",734,558.632688888889,175.367311111111
0,"A4","A4",930,775.970233333333,154.029766666667
0,"A4","A4",1130,814.13013888889,315.86986111111
0,"A4","A4",1326,635.313711111111,690.686288888889
0,"A4","A4",1516,1336.08941111111,179.910588888889
0,"A4","A4",1703,1312.14871111111,390.851288888888
0,"A5","A1",0,222.591994444444,-222.591994444444
0,"A5","A2",0,349.397588888889,-349.397588888889
0,"A5","A3",0,124.352861111111,-124.352861111111
0,"A5","A4",0,253.598905555555,-253.598905555555
0,"A5","A5",0,301.666627777778,-301.666627777778
0,"A5","A6",0,226.366033333333,-226.366033333333
0,"A5","A5",27,189.752338888889,-162.752338888889
