yactual,yhat,resid
1703,1227.7719555555545,475.22804444444546
149,248.8763055555552,-99.8763055555552
209,251.77623333333304,-42.77623333333304
1326,1258.2065166666664,67.7934833333336
27,323.6910888888891,-296.6910888888891
57,96.3047555555555,-39.3047555555555
390,383.6432277777776,6.356772222222389
1130,1381.006733333333,-251.00673333333293
1516,1258.5194611111108,257.4805388888892
1130,867.7350166666664,262.2649833333336
27,96.67939999999999,-69.67939999999999
267,361.98942222222144,-94.98942222222144
448,640.3886777777769,-192.38867777777693
1516,1333.410344444444,182.58965555555596
1703,1385.939561111111,317.06043888888894
0,200.60198333333355,-200.60198333333355
734,505.3930833333327,228.6069166666673
149,356.6348944444441,-207.63489444444411
57,93.22354444444441,-36.223544444444414
390,477.56365555555544,-87.56365555555544
448,603.8126277777783,-155.8126277777783
326,485.91247222222285,-159.91247222222285
390,416.32301666666683,-26.32301666666683
267,349.30798888888853,-82.30798888888853
930,861.0550333333341,68.94496666666589
0,37.188999999999986,-37.188999999999986
149,388.10661111111085,-239.10661111111085
1703,1253.6482388888892,449.3517611111108
267,461.22266666666707,-194.22266666666707
930,896.5041444444453,33.495855555554726
57,206.92203333333336,-149.92203333333336
1326,1255.5835555555543,70.41644444444569
209,265.7888722222219,-56.788872222221926
149,387.4161166666666,-238.4161166666666
149,261.8082333333327,-112.80823333333268
1703,1392.0869500000001,310.9130499999999
1703,1155.0549666666657,547.9450333333343
930,702.2690833333337,227.7309166666663
27,68.73327222222224,-41.73327222222224
390,470.3372888888881,-80.33728888888811
1516,974.3806333333333,541.6193666666667
326,329.0823888888885,-3.082388888888488
448,597.8915611111108,-149.89156111111083
57,117.80537222222219,-60.80537222222219
1326,1156.9515499999998,169.04845000000023
209,290.44202777777724,-81.44202777777724
1516,1346.5898777777766,169.41012222222344
0,64.77564999999997,-64.77564999999997
149,400.3637444444436,-251.36374444444363
734,423.0782888888891,310.9217111111109
87,138.65398888888888,-51.653988888888875
267,321.7185999999996,-54.71859999999958
0,132.08852777777778,-132.08852777777778
149,394.41551111111073,-245.41551111111073
1703,1248.1146444444446,454.8853555555554
448,586.854361111111,-138.85436111111096
267,451.3938555555566,-184.39385555555663
57,110.23343888888887,-53.23343888888887
1130,1100.0483888888893,29.95161111111065
734,415.17412222222254,318.82587777777746
1130,1429.9371888888882,-299.93718888888816
930,862.7450388888891,67.2549611111109
0,162.22294444444452,-162.22294444444452
209,253.88684444444408,-44.88684444444408
326,457.340372222222,-131.34037222222202
57,243.3858722222223,-186.3858722222223
390,422.41765555555577,-32.41765555555577
209,283.0431055555556,-74.0431055555556
27,40.26615555555554,-13.266155555555542
1326,1261.0136777777755,64.98632222222454
1326,1277.760405555555,48.23959444444495
