numBtSamps,numVarSplit,avgcvMSE,avgcvErrFrac,avgsqrtcvMSE,avgsqrtcvErrFrac,avgorigUnitsqrtcvMSE,avgorigUnitsqrtcvErrFrac
300,7,44546.509772244826,0.15501483328783944,19.262082189445906,0.13597653087670708,53818.19541262949,0.18350869147999166
600,7,44218.63498787664,0.15372858387166904,19.154073684983757,0.13512426006354927,53618.52755365696,0.1827705275312526
1500,7,44185.87404608698,0.1534863285167723,19.132854919192443,0.13493332221484378,53573.9868801676,0.1825538488048948
3e3,7,44132.22188446427,0.15344468722789914,19.096268021569543,0.1346836422138851,53450.976446586385,0.18207019190834234
300,8,43624.76599217937,0.15198974004762272,18.921636139156917,0.13350814593341617,52555.04467279791,0.17929621310197433
600,8,43560.0719002599,0.15171798280706625,18.9374657994156,0.13354517854308873,52669.91575781323,0.1795223462114273
1500,8,43452.1026316947,0.15126493045962688,18.88696878817021,0.13322147574473106,52517.57719754303,0.17906433857806944
3e3,8,43445.8522189015,0.15124609352523938,18.876834811171566,0.1331412376774375,52500.89042572223,0.1789804476797043
300,9,43185.52788825546,0.15049162165133945,18.91857400696166,0.13356060929161262,52075.19046720985,0.1778979702924933
600,9,43085.97325160503,0.1502411974784999,18.782815608120693,0.13254003340946646,51825.51265427982,0.17698829311253048
1500,9,42945.64521134474,0.1497135468752755,18.770306893648932,0.1324471136916685,51789.722853117055,0.1767880062685223
3e3,9,42904.45129812521,0.14962534509556136,18.752027624849646,0.13228742721578965,51759.39806947995,0.1766461424386732
300,10,42704.91304083725,0.14929748363392548,18.7816676795118,0.13243440368595574,51329.65037000787,0.1751869000582598
600,10,42732.01148955453,0.1492150002852839,18.7377631202041,0.1322156598848488,51345.00884387024,0.17547379715129324
1500,10,42618.04544182357,0.1488477862585938,18.667987545897574,0.1317405524637622,51102.3524859713,0.17458436954386597
3e3,10,42620.97553295476,0.14886401471704008,18.66228898300836,0.13168878422612523,51086.693991004526,0.17450164629782655
300,11,42541.60373124552,0.14884070661131754,18.75933824120673,0.13238060747394334,50734.72086416801,0.17343203052103165
600,11,42525.41640649891,0.14878266646532995,18.70469602258516,0.1319903967059265,50680.64129626133,0.1732216413635668
1500,11,42423.92588264309,0.1484837981335757,18.685618723234548,0.13182743690714907,50743.92784087789,0.17341732843851904
3e3,11,42351.64756257134,0.14813262256491783,18.661943792400937,0.1316779389195234,50669.5718210053,0.17322028681320492
300,12,42567.508516472524,0.14913006364107634,18.853184548041277,0.13300890602068957,50594.83245148249,0.17301655084047768
600,12,42360.17370193897,0.14844849117060316,18.736347891368926,0.1321737676954685,50299.646874907485,0.1719861973253589
1500,12,42191.607484142056,0.14779704687983108,18.66551504559469,0.13173350043561047,50241.53527710766,0.17186791911965604
3e3,12,42223.75253238856,0.14793068148843516,18.676531217548575,0.13177569752462254,50273.37764405356,0.1719782304396197
300,13,42482.343895107326,0.1491199181615829,18.81782564610346,0.132753228426481,50116.665597352745,0.17159669329017932
600,13,42279.35092473905,0.1484585185552184,18.814360318266804,0.13285762563531572,50092.67386084368,0.17167816698969882
1500,13,42162.845855388594,0.1479352897466869,18.729395629824243,0.13215762933230937,49950.4518669376,0.17100734014862143
3e3,13,42229.65967694818,0.14827166215802756,18.74831594027962,0.132254965097059,49968.910788194444,0.17104175683110603
300,14,42553.307407084554,0.14969758263011473,18.967013277265306,0.13379773241575152,49975.58518689768,0.17113036575197194
600,14,42306.72837367538,0.1486844892276427,18.866625695891155,0.1330989798864281,49836.65958974894,0.17079791831527674
1500,14,42230.237242564515,0.14842824678923064,18.818284937245565,0.13274612943876501,49630.8692162466,0.16992983814231255
3e3,14,42203.88787331294,0.1483078737885756,18.81588424388192,0.13268687000460166,49627.70423563366,0.16991499413348146
300,15,42549.843551021026,0.14976499654869693,19.028486970410313,0.13414462890237167,49568.22632325993,0.16979158599725316
600,15,42426.8413261173,0.149470207776989,18.977339508898556,0.13387198365786127,49558.17293174473,0.16991312299589043
1500,15,42306.523902846515,0.148925196075381,18.941014182238302,0.13356492160808645,49510.579992151455,0.1697491316584953
3e3,15,42262.9833096981,0.1487655243599513,18.932993196270594,0.13350162366263799,49452.07001145103,0.16944971141955917
300,16,42584.38494141202,0.1501187420245421,19.11675899401979,0.13487438546749694,49350.07054854669,0.16939194777667715
600,16,42515.00211797442,0.14980162236941383,19.16729171645598,0.1351913977680295,49461.977172374376,0.16971876843287229
1500,16,42360.01413517489,0.1493992972306273,19.11010321100067,0.13478423624726618,49318.02835224342,0.16920885270689723
3e3,16,42377.1288885086,0.14934332250675722,19.06360193257332,0.13442781304986762,49241.35311489215,0.1689095927767123
300,17,42892.32002713171,0.1514255609859024,19.385251815275964,0.13674937809808346,49507.37992419553,0.17005260672737627
