"","numBtSamps","numVarSplit","avgcvMSE","avgsqrtcvMSE","avgcvSSM","avgsqrtcvSSM"
"1",200,7,43976.4577302061,54895.3923285485,0.165188125500501,0.192948688249437
"2",400,7,44543.0083830379,50727.4573882563,0.167876928602002,0.176940289571758
"3",600,7,43621.2555979974,53927.8877450124,0.164421388457346,0.190122500554445
"4",800,7,44252.8603939549,53610.0731490221,0.16645740433256,0.188498888206751
"5",1000,7,44504.5030549899,52480.1318854603,0.167651849156409,0.184710014838527
"6",200,8,42931.152608044,53477.1374851937,0.164188861136333,0.188479814800716
"7",400,8,42184.6191960369,51923.4829270777,0.159439041923814,0.184393610932598
"8",600,8,43037.0003167629,51794.8094003396,0.161130675607331,0.182038876945325
"9",800,8,43015.8740494073,51232.2476627849,0.163228058107718,0.181443590815522
"10",1000,8,41827.5741892135,51793.3310613908,0.156416579667718,0.182316034783373
"11",200,9,41691.7609387182,52780.7587640104,0.156553134923929,0.187016159124516
"12",400,9,41914.4583777822,49366.7860266897,0.157903495208822,0.173082193446935
"13",600,9,41513.3948728067,51643.097029442,0.156084597264563,0.181792059294071
"14",800,9,42264.7363931779,50578.0579293433,0.159113736865918,0.179733648102828
"15",1000,9,42201.987474298,50738.213181807,0.157660012174017,0.179316646313577
"16",200,10,42549.6986721032,49431.532237995,0.156864061190108,0.176023676638837
"17",400,10,42374.6397753404,50144.6317528573,0.158660364255768,0.178145276254585
"18",600,10,41106.9853113593,49162.3242545671,0.154386603130345,0.173532613112219
"19",800,10,41007.7066886683,48877.766362782,0.154684175410069,0.171950289141305
"20",1000,10,42358.6611843387,49032.4825526819,0.157991941866135,0.172388997778372
"21",200,11,41010.6986863251,51040.9207623638,0.152226785703246,0.180245322680813
"22",400,11,42255.7567305779,51121.247029662,0.159738519989845,0.18014652771592
"23",600,11,40974.5132789564,49264.0776190125,0.154913681588238,0.174944771586774
"24",800,11,41465.0737433566,50617.1036331672,0.15481630415354,0.178194649944239
"25",1000,11,42202.1148968952,49395.671387644,0.157765899576895,0.174224569261873
"26",200,12,40616.3288858277,49304.5608003787,0.152153296418486,0.171679524747082
"27",400,12,40872.9966487829,49309.5063281383,0.154176208163625,0.172896382341807
"28",600,12,41359.8148685367,50108.078483792,0.154229103471697,0.175518641175268
"29",800,12,41988.011799007,49001.0985128923,0.157504012556945,0.173129917962317
"30",1000,12,41661.5577789736,49664.1646644063,0.155461818714326,0.175568613728263
"31",200,13,41182.0105483635,48845.0381971005,0.156356373227207,0.173353079456077
"32",400,13,42349.4898593821,46403.0712985028,0.159759691576115,0.164471438806107
"33",600,13,40873.3508475719,47885.7268689076,0.153326427335696,0.170303539462999
"34",800,13,41617.6573058955,48793.9473506347,0.155088760005866,0.171884179269328
"35",1000,13,40965.4517077472,48855.8891372349,0.153553090228369,0.171042568269321
"36",200,14,43778.981513799,49763.2452671158,0.165224947357745,0.175880004175855
"37",400,14,40848.2101333419,49191.6958410085,0.152154787683529,0.173742282025597
"38",600,14,41452.6677097161,47276.9878456364,0.154582109222752,0.166734758864031
"39",800,14,41022.8003960379,47771.1715931341,0.152345128561435,0.166481265847457
"40",1000,14,40466.4981939924,47566.2985384043,0.150770927632139,0.167988369234386
"41",200,15,42627.9685357276,51937.5888028412,0.159044846838506,0.182678726423977
"42",400,15,42459.4824922041,47958.5219031498,0.158408167685148,0.168810155694641
"43",600,15,41800.8266860739,48752.9156900569,0.1560745399252,0.171325225242883
"44",800,15,41592.1082102721,47000.9479336758,0.156492583381592,0.164513863963239
"45",1000,15,41380.7957709559,48659.0962663839,0.154911010406357,0.170882482446463
"46",200,16,41482.349245146,50238.4173207512,0.154662781277815,0.177095593458898
"47",400,16,41593.9920394112,48454.8323297069,0.15507701805582,0.170237157382906
"48",600,16,42675.8882226158,49151.2951886045,0.158709401586561,0.171860708114071
"49",800,16,41650.9378262789,47991.0061058029,0.154034647496117,0.168383847965815
"50",1000,16,41627.7578874467,48632.6174779702,0.154195404259958,0.172895062755342
"51",200,17,41152.8614210747,47529.4875470219,0.154950633364562,0.169458943751984
"52",400,17,41634.1697188595,48042.4324045434,0.156306754438153,0.170275443609945
"53",600,17,42658.8566288335,47103.4938742999,0.159908377961267,0.164762621414431
"54",800,17,41828.7446276164,48013.6265809105,0.156603919538497,0.169455409395043
"55",1000,17,42361.3416839275,48490.3353496936,0.158131533292,0.169683470726084
