numBtSamps,numVarSplit,avgcvMSE,avgcvErrFrac,avgsqrtcvMSE,avgsqrtcvErrFrac,avgorigUnitsqrtcvMSE,avgorigUnitsqrtcvErrFrac
4e3,6,4084.6885338828565,0.2635171238429589,5.328201314645919,0.1851199980291237,3951.391492263836,0.24466152374983707
5e3,6,4080.9495154997094,0.2635054343767356,5.333928279199693,0.18515455927169422,3960.61985288447,0.2451930864300268
4e3,7,3961.4055210857728,0.25392729319562557,5.228502813390073,0.18025529717834418,3835.5510140289894,0.23795489547799437
5e3,7,3967.9339620124747,0.25461429958750187,5.2325847337517795,0.1802821228337639,3832.55929457683,0.23814955486827824
4e3,8,3896.6589034443286,0.2487800034775169,5.187758190873493,0.17793235406381155,3761.912033844632,0.23524889400962412
5e3,8,3894.7043870264847,0.24874340727103275,5.188979225816697,0.17781091278972175,3767.886670152652,0.23513720702826238
4e3,9,3865.728366280269,0.24664002177513164,5.21136423399843,0.17839158198293145,3743.716674190449,0.2355494700147229
5e3,9,3862.05481835857,0.24628022031289393,5.213561514124129,0.17868379647266427,3748.6772981932395,0.23599547734465293
4e3,10,3850.8009622162494,0.24525505978845188,5.287973684898747,0.18148966900015637,3770.256944631368,0.240001069244365
5e3,10,3864.9829942617657,0.2465320230903418,5.289069009609763,0.18150357969933087,3772.9638129353298,0.23995902410183714
