cvMSE,cvErrFrac
70982.2510481278,0.24894190920065604
92443.13388579406,0.23704928481360338
66898.012503472,0.29125223060188926
74267.98263846508,0.21053515964164968
25223.900508371327,0.23390045835693485
61281.909696458824,0.1982479903523486
24959.356920879178,0.3199281546104817
66548.37349224565,0.18583458257592586
28071.10619042305,0.08944625581911642
106823.82611833124,0.31111440161210796
96019.48956399641,0.5704353171165616
77502.9318581434,0.6401508078606236
35924.51881401393,0.1589042290896303
183774.7432191144,0.35839986530405377
35944.89596808069,0.12996682521458364
43487.65648872441,0.2058352478739325
32759.61745308532,0.49787026314504057
74574.69028462986,0.2634796346626947
12006.386293700427,0.0882256775239384
44240.71361980148,0.20728463516400572
101657.42312221017,0.5803505306725013
62125.22735250685,0.23922636889504315
75587.13965618542,0.6640010333428937
39816.27792535776,0.1645386191341831
59837.552650289974,0.20920908118231238
126410.20066506532,0.2867542636599524
80085.97430043251,0.32477908032261565
41645.336834853064,0.15671047563867246
69500.53836054428,0.32746826425213715
195865.51162867795,0.4507927290227054
109703.3757347582,0.3744854154021353
101604.3800300833,0.28074704580973514
69371.30342162812,0.36609274753582166
65604.36952625414,0.1751394002279332
81570.48458555985,0.21077487255910196
84493.2352821385,0.2409935955909419
10551.549507139887,0.052327550468930666
52527.61784060035,0.17874546975484384
154991.8098958775,0.475901024398052
43555.97407832138,0.19913882881664874
42948.5571750062,0.12123760752732078
91083.11943579982,0.29931793261344797
55489.089784069074,0.20730875195793633
80026.39240452106,0.2433432574915697
110530.57369311637,0.258818721686621
37727.50447050851,0.22078636060864415
86098.1239895131,0.20057273355725788
18736.035145050224,0.08734829763004888
43449.234501021834,0.1956661960548597
73923.06129193306,0.20842916171494483
38499.34212547247,0.1229860648181463
16825.39866949837,0.2148249619373799
52784.38688388167,0.33234758330731234
44207.043558685364,0.16832072131501433
30452.936670275587,0.2793820187381029
65522.74934528817,0.43725558455314095
49257.454706542776,0.13818559036639935
114708.68964896488,0.341132968283178
24606.807710203073,0.13192089798718756
25398.096885731255,0.13589905325577278
80258.6528789638,0.2374003195304656
49259.17776496457,0.14613416262576825
94318.66638160567,0.2568323102228115
84623.9460802804,0.3236161227506089
110001.11032310054,0.3315561187923123
68736.13476435246,0.21236027702334206
42969.10110767286,0.19067251489616197
68778.77187004805,0.37953749017780514
13484.95186071786,0.06362760521880903
67594.66754118449,0.2381404300295278
22669.56162457018,0.1598682710530495
23773.958883466632,0.10886531398502897
9148.135655875056,0.16969056462514354
64520.87732562034,0.1804185399466168
41871.76479651032,0.1723592684281234
56889.82754207831,0.3107641469137774
36456.45254368465,0.09852497623061962
74861.95325744004,0.5195122105181281
34316.69899975841,0.08795329194562411
67354.82463562954,0.380625094479599
20387.254117730143,0.06562068289512268
24506.251364701147,0.11964787595507288
61435.465135518396,0.2526962869786477
71392.52354929788,0.26382820106171606
44603.31603364295,0.10156620042697811
137380.61547484697,0.2845489562473874
61990.94173290786,0.18307561961541705
52410.3247873952,0.13900713850427512
139786.4837297231,0.3793991639835025
46031.62410923318,0.1368280774450606
75483.9287540872,0.6199243166383411
52204.315931712474,0.15982913622705572
43161.2953271316,0.3657949679326041
23231.399292651466,0.14199020320383013
46705.843733612004,0.38997437011897973
116977.43085991773,0.4198137088711135
80332.45035003763,0.17286371830287056
94380.26545860287,0.23816269523763278
111263.19853173473,0.3178636832462465
16530.715704379003,0.0811053868304202
