yactual,yhat,resid
57,224.41823888888888,-167.41823888888888
27,59.67581111111114,-32.67581111111114
326,427.7205166666657,-101.72051666666567
0,54.231127777777736,-54.231127777777736
149,251.27358888888872,-102.27358888888872
1326,1008.548477777777,317.45152222222305
87,626.9674722222229,-539.9674722222229
87,109.46166111111116,-22.461661111111155
149,292.0324166666664,-143.0324166666664
57,190.75727222222213,-133.75727222222213
930,1190.9076999999993,-260.9076999999993
209,299.7562888888888,-90.75628888888878
448,367.5008833333333,80.49911666666668
734,759.9385499999999,-25.93854999999985
57,128.02005555555553,-71.02005555555553
326,520.9165777777775,-194.91657777777755
1516,1333.7854666666667,182.2145333333333
149,393.0224611111109,-244.02246111111089
448,495.53344444444457,-47.53344444444457
57,126.61809999999997,-69.61809999999997
734,668.8502111111122,65.14978888888777
209,241.91578333333305,-32.91578333333305
930,1030.7111166666675,-100.71111666666752
149,238.693633333333,-89.693633333333
1703,1230.2038999999995,472.7961000000005
267,349.68476666666646,-82.68476666666646
1516,1315.6008055555556,200.39919444444445
27,86.48694444444446,-59.48694444444446
1703,1298.633422222223,404.3665777777769
326,381.3315111111111,-55.331511111111126
326,321.762972222222,4.237027777777996
57,133.13657222222216,-76.13657222222216
390,346.24425,43.75574999999998
1703,1251.6456111111106,451.3543888888894
448,378.3279888888895,69.67201111111052
0,25.569244444444454,-25.569244444444454
209,241.85804999999982,-32.85804999999982
1130,1230.4098999999985,-100.40989999999852
930,903.2347333333339,26.765266666666093
734,560.7051277777779,173.29487222222212
267,301.96474999999924,-34.96474999999924
1326,1280.5691277777778,45.430872222222206
57,261.22509444444444,-204.22509444444444
149,298.64229999999935,-149.64229999999935
0,47.66700555555551,-47.66700555555551
1516,1196.7510277777776,319.2489722222224
734,684.2517166666667,49.74828333333335
1703,1446.178794444443,256.82120555555707
267,351.0944055555552,-84.09440555555523
734,623.2387722222227,110.76122777777732
87,323.79673333333346,-236.79673333333346
1703,1314.6882611111091,388.3117388888909
1516,1232.4895777777765,283.5104222222235
87,78.20060000000002,8.799399999999977
1130,866.1858499999996,263.8141500000004
930,813.3211111111111,116.67888888888888
209,288.7104277777777,-79.71042777777768
87,277.73436111111096,-190.73436111111096
1703,1268.8586777777775,434.14132222222247
27,34.08611666666667,-7.086116666666669
448,601.1737722222219,-153.17377222222194
0,44.415322222222244,-44.415322222222244
1703,1292.400716666667,410.599283333333
57,125.02475555555553,-68.02475555555553
326,518.426566666667,-192.426566666667
930,1110.4784277777785,-180.4784277777785
209,274.16284999999976,-65.16284999999976
448,365.21601111111147,82.78398888888853
326,393.98464444444375,-67.98464444444375
0,123.53839444444452,-123.53839444444452
1130,1436.8302777777772,-306.83027777777716
390,483.77242777777764,-93.77242777777764
149,231.93208333333303,-82.93208333333303
0,112.86124444444441,-112.86124444444441
1703,1271.6199944444445,431.3800055555555
1130,1317.1583888888883,-187.15838888888834
1516,1411.2585111111123,104.74148888888772
390,346.7128111111108,43.287188888889204
267,297.16335000000004,-30.163350000000037
27,32.40165555555555,-5.40165555555555
930,881.6078722222226,48.39212777777743
930,748.1164555555545,181.88354444444553
87,373.4091499999999,-286.4091499999999
1326,1145.438744444444,180.56125555555604
930,1053.8607666666678,-123.86076666666781
149,452.1668722222227,-303.1668722222227
0,78.4996111111111,-78.4996111111111
448,385.1163777777779,62.88362222222207
1130,1167.606100000001,-37.606100000001106
87,371.5125444444442,-284.5125444444442
87,520.3076777777778,-433.3076777777778
1516,1406.501949999998,109.49805000000197
149,290.25502222222195,-141.25502222222195
930,1021.109622222221,-91.10962222222099
149,250.32141666666644,-101.32141666666644
326,401.0391722222222,-75.03917222222219
390,529.0704888888879,-139.0704888888879
27,197.70726666666664,-170.70726666666664
209,258.57298333333284,-49.57298333333284
87,351.2584944444443,-264.2584944444443
930,782.0294277777774,147.9705722222226
1326,1072.0658611111114,253.93413888888858
1516,1274.8246277777766,241.17537222222336
57,77.20283333333333,-20.20283333333333
0,85.01942222222222,-85.01942222222222
27,32.85089444444443,-5.850894444444428
1130,1405.8559277777767,-275.85592777777674
1130,1155.1078555555564,-25.107855555556398
326,360.17616666666635,-34.17616666666635
1130,1392.6592722222208,-262.6592722222208
0,98.7523888888889,-98.7523888888889
1516,1362.7923222222214,153.2076777777786
1326,1338.9735055555561,-12.97350555555613
149,223.43449999999956,-74.43449999999956
87,285.6187555555556,-198.6187555555556
27,37.59825000000002,-10.598250000000021
390,538.5473388888884,-148.54733888888836
57,77.9718944444445,-20.9718944444445
87,316.92293333333345,-229.92293333333345
0,94.94754444444446,-94.94754444444446
448,381.83137777777745,66.16862222222255
267,297.941161111111,-30.941161111111
930,858.7832666666669,71.21673333333308
1516,1227.0538944444443,288.94610555555573
149,249.452172222222,-100.452172222222
1130,1174.9724000000003,-44.972400000000334
734,684.5498500000003,49.45014999999967
87,215.33683333333335,-128.33683333333335
326,362.78253333333305,-36.78253333333305
57,104.72826111111117,-47.728261111111166
1130,949.7306277777782,180.26937222222182
326,293.0256444444441,32.97435555555592
0,124.75140555555562,-124.75140555555562
1703,1220.4627222222211,482.53727777777885
149,238.5687833333333,-89.5687833333333
1703,1378.6168777777766,324.3831222222234
27,321.170027777778,-294.170027777778
390,553.1798166666669,-163.17981666666685
149,224.7820555555553,-75.7820555555553
930,1124.1040555555546,-194.10405555555462
27,192.17490000000006,-165.17490000000006
27,58.816238888888826,-31.816238888888826
1326,1377.6476833333313,-51.647683333331315
87,253.95360555555547,-166.95360555555547
149,354.8437222222222,-205.8437222222222
930,1064.2022666666671,-134.20226666666713
734,777.6819222222222,-43.68192222222217
326,500.61274444444354,-174.61274444444354
1516,1392.9330222222218,123.06697777777822
149,256.1506222222223,-107.1506222222223
326,310.92270555555575,15.077294444444249
734,806.9425944444442,-72.94259444444424
930,1199.0829,-269.0829000000001
1130,1033.957533333333,96.042466666667
209,321.68796666666657,-112.68796666666657
149,288.66419999999994,-139.66419999999994
57,78.57254999999996,-21.572549999999964
1703,1254.6921944444455,448.3078055555545
930,745.8293833333335,184.17061666666655
734,530.7897388888887,203.21026111111132
27,25.5888,1.411200000000001
87,562.9189055555554,-475.9189055555554
734,540.4938888888889,193.50611111111107
326,397.6042388888887,-71.60423888888869
1516,1341.4584777777754,174.54152222222456
390,344.73423333333324,45.265766666666764
448,360.17401111111104,87.82598888888896
57,126.57427777777781,-69.57427777777781
1516,1171.6603777777775,344.3396222222225
448,539.3254777777784,-91.32547777777836
1326,1146.9461277777773,179.0538722222227
149,230.08281666666656,-81.08281666666656
734,511.84428888888937,222.15571111111063
1703,1174.4971666666659,528.5028333333341
1130,1103.1075666666677,26.892433333332292
326,312.4163666666666,13.58363333333341
87,280.9760555555555,-193.9760555555555
27,43.428105555555554,-16.428105555555554
0,104.61355555555554,-104.61355555555554
1326,1037.741794444443,288.25820555555697
149,223.77374999999978,-74.77374999999978
149,226.34785555555516,-77.34785555555516
0,115.98442777777771,-115.98442777777771
1703,1296.7021055555551,406.29789444444486
1130,1118.9773388888896,11.022661111110438
930,1033.314677777778,-103.31467777777789
734,678.8853666666662,55.11463333333381
1516,1370.7872944444432,145.2127055555568
1326,1385.1050666666656,-59.10506666666561
27,55.47092222222217,-28.47092222222217
267,367.2938166666666,-100.2938166666666
930,768.4870388888891,161.51296111111094
1130,983.1136777777778,146.88632222222225
390,465.4165166666666,-75.41651666666661
1326,1048.5264999999995,277.4735000000005
390,278.63536666666687,111.36463333333313
326,467.455738888889,-141.45573888888902
734,722.8008333333333,11.199166666666656
57,100.4525444444445,-43.4525444444445
267,354.2850666666671,-87.28506666666709
390,355.2672833333332,34.73271666666682
0,174.99140555555567,-174.99140555555567
149,448.07222222222265,-299.07222222222265
930,1057.4699000000003,-127.46990000000028
1326,1039.5230777777779,286.47692222222213
87,285.0097222222224,-198.00972222222242
930,860.5627333333322,69.43726666666782
1516,1388.1277666666667,127.87223333333327
149,377.93734999999987,-228.93734999999987
149,403.90805555555573,-254.90805555555573
209,351.8460388888888,-142.8460388888888
0,70.76298888888886,-70.76298888888886
209,319.3146277777778,-110.31462777777779
390,543.7872277777776,-153.78722777777762
149,295.295711111111,-146.29571111111102
57,100.94741666666661,-43.94741666666661
390,331.86815555555535,58.13184444444465
27,280.6308833333335,-253.6308833333335
1130,1307.862533333332,-177.86253333333207
930,1107.6580999999992,-177.6580999999992
734,699.2680611111109,34.73193888888909
1326,1292.0435777777761,33.956422222223864
1703,1273.9338777777762,429.06612222222384
0,108.96983888888896,-108.96983888888896
0,55.766072222222256,-55.766072222222256
1516,1192.2863222222218,323.71367777777823
27,44.738388888888885,-17.738388888888885
1516,1177.1903000000004,338.80969999999957
57,135.65227777777767,-78.65227777777767
390,541.4662444444444,-151.46624444444444
209,274.45688888888856,-65.45688888888856
448,501.89846111111086,-53.89846111111086
267,336.6995944444444,-69.69959444444441
0,108.41103888888895,-108.41103888888895
1130,1306.2041833333335,-176.2041833333335
930,1122.7613666666664,-192.7613666666664
267,289.96177777777757,-22.96177777777757
734,530.417294444445,203.58270555555498
1130,794.2312055555551,335.7687944444449
87,170.87292222222214,-83.87292222222214
1516,1369.1763499999981,146.82365000000186
57,119.69141666666668,-62.69141666666668
326,474.425166666667,-148.425166666667
930,658.1808999999998,271.81910000000016
149,222.44404444444407,-73.44404444444407
0,20.67119444444445,-20.67119444444445
1326,1239.8843611111092,86.11563888889077
1516,1264.3713722222215,251.62862777777855
1130,1173.1618388888885,-43.1618388888885
1326,1005.3899944444437,320.6100055555563
57,148.80949444444445,-91.80949444444445
149,227.10658333333322,-78.10658333333322
57,135.70312777777784,-78.70312777777784
1703,1261.2786444444437,441.72135555555633
734,611.2170111111111,122.7829888888889
87,119.91695000000007,-32.91695000000007
57,158.98328333333336,-101.98328333333336
149,442.6127055555552,-293.6127055555552
57,252.37688333333327,-195.37688333333327
57,127.17485000000003,-70.17485000000003
57,183.02131666666676,-126.02131666666676
0,79.24754444444442,-79.24754444444442
734,580.8379944444441,153.16200555555588
734,492.29046666666665,241.70953333333335
1130,1110.808416666666,19.191583333333938
87,570.9588333333329,-483.9588333333329
930,894.7524611111111,35.247538888888926
390,350.7903055555555,39.209694444444494
1326,1172.3113833333314,153.68861666666862
149,260.92122222222196,-111.92122222222196
1516,1392.939955555552,123.06004444444807
57,80.68067222222224,-23.680672222222242
149,283.7453722222217,-134.7453722222217
57,267.77697222222247,-210.77697222222247
267,338.40299999999996,-71.40299999999996
1703,1310.6847722222215,392.31522777777855
0,50.26283888888891,-50.26283888888891
390,348.8442500000001,41.1557499999999
734,854.4569944444443,-120.45699444444426
0,34.960738888888876,-34.960738888888876
1130,1405.1180444444421,-275.11804444444215
930,932.6386333333336,-2.638633333333587
326,497.4590666666668,-171.45906666666679
267,300.7782611111111,-33.77826111111108
1326,1015.1902388888874,310.8097611111126
1130,855.6004777777771,274.3995222222229
87,222.93106111111112,-135.93106111111112
390,297.1100444444444,92.88995555555562
87,278.09418333333315,-191.09418333333315
267,361.0535333333331,-94.05353333333312
448,542.4551222222224,-94.45512222222237
209,297.54522777777765,-88.54522777777765
1130,988.3199055555564,141.68009444444363
57,113.44489999999993,-56.44489999999993
149,289.3368666666662,-140.3368666666662
