"days","degdays","subj","taxa","counts","fracBySubjDay"
1,27,"A2","Burkholderiales",277,0.00625211601399391
1,27,"A2","Caulobacterales",55,0.00124139487642478
1,27,"A2","Clostridiales",7934,0.179076853628259
1,27,"A2","Enterobacteriales",79,0.00178309445886469
1,27,"A2","Flavobacteriales",1177,0.0265658503554904
1,27,"A2","JG30_KF_CM45",667,0.0150547342286424
1,27,"A2","Lactobacillales",3932,0.0887484482564045
1,27,"A2","Pseudomonadales",2415,0.0545085204830155
1,27,"A2","Rare",680,0.0153481548357973
1,27,"A2","Rhizobiales",277,0.00625211601399391
1,27,"A2","Sphingobacteriales",252,0.005687845615619
1,27,"A2","Turicibacterales",495,0.011172553887823
1,27,"A2","Xanthomonadales",336,0.00758379415415867
1,27,"A3","Actinomycetales",5446,0.310207336523126
1,27,"A3","Bacillales",1339,0.0762702210070631
1,27,"A3","Bacteroidales",747,0.0425495557074504
1,27,"A3","Burkholderiales",107,0.00609478241057188
1,27,"A3","Caulobacterales",14,0.000797448165869219
1,27,"A3","Clostridiales",5984,0.340852130325815
1,27,"A3","Enterobacteriales",51,0.00290498974709501
1,27,"A3","Flavobacteriales",296,0.0168603326498063
1,27,"A3","JG30_KF_CM45",191,0.0108794714057872
1,27,"A3","Lactobacillales",1935,0.110218728639781
1,27,"A3","Pseudomonadales",466,0.0265436318067897
1,27,"A3","Rare",490,0.0279106858054226
1,27,"A3","Rhizobiales",106,0.00603782182729551
1,27,"A3","Sphingobacteriales",59,0.00336067441330599
1,27,"A3","Turicibacterales",214,0.0121895648211438
1,27,"A3","Xanthomonadales",111,0.00632262474367738
1,27,"A4","Actinomycetales",18260,0.29467297109752
1,27,"A4","Bacillales",6445,0.104006971452547
1,27,"A4","Bacteroidales",312,0.0050349379508448
1,27,"A4","Burkholderiales",260,0.004195781625704
1,27,"A4","Caulobacterales",73,0.00117804637952459
1,27,"A4","Clostridiales",12092,0.195136120838511
1,27,"A4","Enterobacteriales",5369,0.0866428905707877
1,27,"A4","Flavobacteriales",1287,0.0207691190472348
1,27,"A4","JG30_KF_CM45",269,0.00434102022043991
1,27,"A4","Lactobacillales",7457,0.120338244549518
1,27,"A4","Pseudomonadales",8026,0.129520551261155
1,27,"A4","Rare",579,0.00934368292801007
1,27,"A4","Rhizobiales",535,0.00863362757596785
1,27,"A4","Sphingobacteriales",311,0.00501880032920748
1,27,"A4","Turicibacterales",376,0.00606774573563348
1,27,"A4","Xanthomonadales",316,0.0050994884373941
1,27,"A5","Actinomycetales",22805,0.388785652181325
1,27,"A5","Bacillales",5048,0.086059634826193
1,27,"A5","Bacteroidales",2563,0.0436946996948361
1,27,"A5","Burkholderiales",485,0.00826840786265919
1,27,"A5","Caulobacterales",47,0.000801268390814396
1,27,"A5","Clostridiales",12729,0.217007347801626
1,27,"A5","Enterobacteriales",209,0.00356308709957891
1,27,"A5","Flavobacteriales",1676,0.0285728898511687
1,27,"A5","JG30_KF_CM45",1221,0.0208159298975399
1,27,"A5","Lactobacillales",5493,0.0936461121434782
1,27,"A5","Pseudomonadales",2612,0.0445300646129192
1,27,"A5","Rare",1725,0.0294082547692517
1,27,"A5","Rhizobiales",518,0.0088310005625927
1,27,"A5","Sphingobacteriales",393,0.00669996760829909
1,27,"A5","Turicibacterales",524,0.00893329014439879
1,27,"A5","Xanthomonadales",609,0.0103823925533184
1,27,"A6","Actinomycetales",17347,0.420747532076936
1,27,"A6","Bacillales",4704,0.11409444808266
1,27,"A6","Bacteroidales",311,0.00754323413131534
1,27,"A6","Burkholderiales",360,0.00873171796550971
1,27,"A6","Caulobacterales",176,0.00426883989424919
1,27,"A6","Clostridiales",5819,0.141138519003614
1,27,"A6","Enterobacteriales",42,0.00101870042930947
1,27,"A6","Flavobacteriales",2062,0.0500133401246695
1,27,"A6","JG30_KF_CM45",385,0.00933808726867011
1,27,"A6","Lactobacillales",2852,0.0691746101045381
1,27,"A6","Pseudomonadales",4785,0.1160590846249
1,27,"A6","Rare",777,0.0188459579422251
1,27,"A6","Rhizobiales",598,0.0145043537315967
1,27,"A6","Sphingobacteriales",315,0.007640253219821
1,27,"A6","Turicibacterales",235,0.00569987144970773
1,27,"A6","Xanthomonadales",461,0.0111814499502777
2,57,"A1","Actinomycetales",15175,0.259175761302113
2,57,"A1","Bacillales",5023,0.0857884579255692
2,57,"A1","Bacteroidales",2436,0.0416047548291233
2,57,"A1","Burkholderiales",361,0.00616556506293659
2,57,"A1","Caulobacterales",60,0.00102474765588974
2,57,"A1","Clostridiales",22464,0.383665522365118
2,57,"A1","Enterobacteriales",260,0.00444057317552219
2,57,"A1","Flavobacteriales",812,0.0138682516097078
2,57,"A1","JG30_KF_CM45",1073,0.0183259039128281
2,57,"A1","Lactobacillales",5251,0.0896824990179502
2,57,"A1","Pseudomonadales",977,0.0166863076634046
2,57,"A1","Rare",1927,0.0329114788816587
2,57,"A1","Rhizobiales",317,0.00541408344861744
2,57,"A1","Sphingobacteriales",298,0.00508958002425236
2,57,"A1","Turicibacterales",1746,0.0298201567863914
2,57,"A1","Xanthomonadales",371,0.00633635633891821
2,57,"A2","Actinomycetales",21267,0.437295663438406
2,57,"A2","Bacillales",6622,0.136162687886826
2,57,"A2","Bacteroidales",33,0.000678551600764913
2,57,"A2","Burkholderiales",123,0.00252914687557831
2,57,"A2","Caulobacterales",50,0.00102810848600744
2,57,"A2","Clostridiales",12673,0.260584376863447
2,57,"A2","Enterobacteriales",87,0.00178890876565295
2,57,"A2","Flavobacteriales",345,0.00709394855345136
2,57,"A2","JG30_KF_CM45",600,0.0123373018320893
2,57,"A2","Lactobacillales",2213,0.0455040815906895
2,57,"A2","Pseudomonadales",2313,0.0475602985627043
2,57,"A2","Rare",549,0.0112886311763617
2,57,"A2","Rhizobiales",517,0.010630641745317
2,57,"A2","Sphingobacteriales",104,0.00213846565089548
2,57,"A2","Turicibacterales",979,0.0201303641560257
2,57,"A2","Xanthomonadales",158,0.00324882281578352
2,57,"A3","Actinomycetales",11168,0.29518422582862
2,57,"A3","Bacillales",3547,0.0937516519532696
2,57,"A3","Bacteroidales",93,0.00245810646508432
2,57,"A3","Burkholderiales",57,0.00150658138182587
2,57,"A3","Caulobacterales",13,0.00034360628006555
2,57,"A3","Clostridiales",18179,0.480493735793202
2,57,"A3","Enterobacteriales",83,0.00219379394195697
2,57,"A3","Flavobacteriales",105,0.00277528149283713
2,57,"A3","JG30_KF_CM45",703,0.0185811703758524
2,57,"A3","Lactobacillales",1292,0.0341491779880531
2,57,"A3","Pseudomonadales",200,0.00528625046254692
2,57,"A3","Rare",371,0.00980599460802452
2,57,"A3","Rhizobiales",315,0.00832584447851139
2,57,"A3","Sphingobacteriales",2,5.28625046254692e-05
2,57,"A3","Turicibacterales",1644,0.0434529788021356
2,57,"A3","Xanthomonadales",62,0.00163873764338954
2,57,"A4","Actinomycetales",19424,0.252024081378451
2,57,"A4","Bacillales",12037,0.156178638156529
2,57,"A4","Bacteroidales",523,0.00678586257006436
2,57,"A4","Burkholderiales",454,0.00589059580651858
2,57,"A4","Caulobacterales",111,0.0014402117500519
2,57,"A4","Clostridiales",11319,0.1468626738634
2,57,"A4","Enterobacteriales",1134,0.0147135146356654
2,57,"A4","Flavobacteriales",2206,0.0286225866722026
2,57,"A4","JG30_KF_CM45",329,0.00426873572763131
2,57,"A4","Lactobacillales",11991,0.155581793647498
2,57,"A4","Pseudomonadales",13933,0.180779011833091
2,57,"A4","Rare",1058,0.0137274237077019
2,57,"A4","Rhizobiales",917,0.011897965538717
