yactual,yhat,resid
209,218.31542222222205,-9.315422222222054
267,302.996833333333,-35.99683333333297
209,343.65102222222214,-134.65102222222214
149,574.7024666666666,-425.7024666666666
1516,1053.4288999999992,462.5711000000008
209,258.39762777777725,-49.397627777777245
267,198.88619999999992,68.11380000000008
1703,1193.4383388888893,509.56166111111065
57,317.4193333333333,-260.4193333333333
209,203.9105055555553,5.0894944444447106
734,937.5767777777783,-203.57677777777826
267,302.4685166666663,-35.46851666666629
209,203.86198333333294,5.138016666667056
0,46.45199444444442,-46.45199444444442
149,223.1583944444442,-74.15839444444421
326,387.27921111111135,-61.27921111111135
87,202.9257999999994,-115.92579999999941
734,935.7096777777774,-201.70967777777742
1516,1095.5119666666665,420.48803333333353
326,403.6412888888886,-77.6412888888886
87,174.62553888888883,-87.62553888888883
734,998.8209166666666,-264.82091666666656
27,44.16298333333338,-17.16298333333338
1326,1331.6153944444436,-5.615394444443609
734,993.1296555555552,-259.12965555555525
1703,1209.7857777777774,493.2142222222226
27,44.557227777777804,-17.557227777777804
1703,1309.6882555555558,393.31174444444423
448,519.0807500000004,-71.08075000000042
326,390.4199611111106,-64.41996111111058
267,372.7684833333331,-105.76848333333311
1326,1196.176072222222,129.82392777777795
930,799.8168999999999,130.18310000000008
57,73.85771111111109,-16.857711111111087
390,343.3121388888885,46.68786111111149
734,715.1078999999999,18.89210000000014
87,207.53532777777738,-120.53532777777738
0,42.46416666666671,-42.46416666666671
1326,1303.4859388888876,22.51406111111237
209,289.66176111111133,-80.66176111111133
734,1001.1043222222228,-267.1043222222228
209,193.03778888888849,15.962211111111515
0,89.90592222222222,-89.90592222222222
326,374.0466611111109,-48.04666111111089
87,153.53928888888888,-66.53928888888888
57,358.0721611111112,-301.0721611111112
734,685.1853055555564,48.8146944444436
1516,1256.671877777778,259.32812222222196
1130,1150.4736944444435,-20.47369444444348
0,85.94935555555556,-85.94935555555556
87,323.8277333333333,-236.8277333333333
930,1051.7669777777774,-121.76697777777736
267,213.62933333333294,53.37066666666706
27,321.1686444444442,-294.1686444444442
27,75.37160555555555,-48.37160555555555
390,609.7861333333342,-219.7861333333342
57,141.33584999999997,-84.33584999999997
1516,1328.4973499999985,187.5026500000015
930,818.8119277777774,111.18807222222256
1703,1175.8724722222225,527.1275277777775
27,317.2233055555557,-290.2233055555557
1516,1346.3952777777763,169.6047222222237
734,985.1001833333324,-251.10018333333244
448,370.0488333333336,77.95116666666638
149,224.8549666666662,-75.8549666666662
930,1082.7118944444446,-152.71189444444462
1130,1372.7508388888887,-242.75083888888867
390,354.7059611111113,35.29403888888868
326,243.86619999999965,82.13380000000035
448,586.5147666666661,-138.5147666666661
930,579.6930166666657,350.3069833333343
57,303.00072222222246,-246.00072222222246
209,307.9942166666672,-98.99421666666723
149,482.79208333333315,-333.79208333333315
0,66.86364999999995,-66.86364999999995
27,31.377561111111103,-4.377561111111103
149,202.33533888888874,-53.33533888888874
448,414.1356722222221,33.86432777777787
930,912.266027777777,17.733972222222974
57,150.3922611111112,-93.3922611111112
57,123.34734444444456,-66.34734444444456
149,239.17662222222205,-90.17662222222205
