"days","degdays","subj","taxa","counts","fracBySubjDay","type"
0,0,"A3","Ascaridida",17,0.000902479163348729,"euk"
0,0,"A3","Aspergillaceae",1424,0.0755959016828582,"euk"
0,0,"A3","Asterales",0,0,"euk"
0,0,"A3","Bacillariophyceae",0,0,"euk"
0,0,"A3","Chlamydomonadales",32,0.00169878430747996,"euk"
0,0,"A3","Chromulinales",21,0.00111482720178372,"euk"
0,0,"A3","Cladosporiaceae",61,0.00323830758613367,"euk"
0,0,"A3","Coleoptera",3,0.000159261028826246,"euk"
0,0,"A3","Collembola",0,0,"euk"
0,0,"A3","Cystofilobasidiaceae",0,0,"euk"
0,0,"A3","Debaryomycetaceae",527,0.0279768540638106,"euk"
0,0,"A3","Didymellaceae",1,5.30870096087487e-05,"euk"
0,0,"A3","Dipodascaceae",19,0.00100865318256623,"euk"
0,0,"A3","Diptera",1023,0.05430801082975,"euk"
0,0,"A3","Eimeriorina",54,0.00286669851887243,"euk"
0,0,"A3","Eustigmatales",0,0,"euk"
0,0,"A3","Fabales",35,0.00185804533630621,"euk"
0,0,"A3","Haptoria",1077,0.0571747093486224,"euk"
0,0,"A3","Herpotrichiellaceae",2,0.000106174019217497,"euk"
0,0,"A3","Hypotrichia",30,0.00159261028826246,"euk"
0,0,"A3","Lichtheimiaceae",181,0.00960874873918352,"euk"
0,0,"A3","Malasseziaceae",45,0.00238891543239369,"euk"
0,0,"A3","Mucoraceae",416,0.0220841959972395,"euk"
0,0,"A3","Neogregarinorida",0,0,"euk"
0,0,"A3","Oligohymenophorea",98,0.00520252694165738,"euk"
0,0,"A3","Opiliones",0,0,"euk"
0,0,"A3","Peronosporomycetes",0,0,"euk"
0,0,"A3","Phaeosphaeriaceae",1,5.30870096087487e-05,"euk"
0,0,"A3","Phaffomycetaceae",158,0.0083877475181823,"euk"
0,0,"A3","Pichiaceae",577,0.030631204544248,"euk"
0,0,"A3","Poales",256,0.0135902744598397,"euk"
0,0,"A3","Ranunculales",0,0,"euk"
0,0,"A3","Rare",352,0.0186866273822796,"euk"
0,0,"A3","Rhabditida",2336,0.124011254446037,"euk"
0,0,"A3","Rhizaspididae",1,5.30870096087487e-05,"euk"
0,0,"A3","Rhizopodaceae",98,0.00520252694165738,"euk"
0,0,"A3","Rhynchogastremataceae",0,0,"euk"
0,0,"A3","Saccharomycetaceae",75,0.00398152572065616,"euk"
0,0,"A3","Saccharomycodaceae",0,0,"euk"
0,0,"A3","Sapindales",4,0.000212348038434995,"euk"
0,0,"A3","Schizosaccharomycetaceae",0,0,"euk"
0,0,"A3","Sphaeropleales",0,0,"euk"
0,0,"A3","Sporidiobolaceae",93,0.00493709189361363,"euk"
0,0,"A3","Taphrinaceae",0,0,"euk"
0,0,"A3","Trichosporonaceae",2563,0.136062005627223,"euk"
0,0,"A3","Trichostomatia",7136,0.378828900568031,"euk"
0,0,"A3","Trypanosomatida",121,0.0064235281626586,"euk"
0,0,"A3","Ustilaginaceae",0,0,"euk"
0,0,"A4","Acari",1,4.34480361487661e-05,"euk"
0,0,"A4","Apiales",0,0,"euk"
0,0,"A4","Ascaridida",561,0.0243743482794578,"euk"
0,0,"A4","Aspergillaceae",1027,0.0446211331247828,"euk"
0,0,"A4","Asterales",0,0,"euk"
0,0,"A4","Bacillariophyceae",0,0,"euk"
0,0,"A4","Chlamydomonadales",140,0.00608272506082725,"euk"
0,0,"A4","Chromulinales",8,0.000347584289190129,"euk"
0,0,"A4","Cladosporiaceae",198,0.00860271115745568,"euk"
0,0,"A4","Coleoptera",2,8.68960722975322e-05,"euk"
0,0,"A4","Collembola",0,0,"euk"
0,0,"A4","Cystofilobasidiaceae",1,4.34480361487661e-05,"euk"
0,0,"A4","Debaryomycetaceae",689,0.0299356969064998,"euk"
0,0,"A4","Didymellaceae",1,4.34480361487661e-05,"euk"
0,0,"A4","Dipodascaceae",10,0.000434480361487661,"euk"
0,0,"A4","Diptera",1389,0.0603493222106361,"euk"
0,0,"A4","Eimeriorina",24,0.00104275286757039,"euk"
0,0,"A4","Eustigmatales",0,0,"euk"
0,0,"A4","Fabales",12,0.000521376433785193,"euk"
0,0,"A4","Haptoria",8,0.000347584289190129,"euk"
0,0,"A4","Herpotrichiellaceae",5,0.00021724018074383,"euk"
0,0,"A4","Hypotrichia",12,0.000521376433785193,"euk"
0,0,"A4","Lichtheimiaceae",295,0.012817170663886,"euk"
0,0,"A4","Malasseziaceae",10,0.000434480361487661,"euk"
