"days","degdays","subj","taxa","counts","fracBySubjDay","type"
0,0,"A3","Metakinetoplastina",125,0.00599146814935532,"euk"
0,0,"A3","Mucorales",702,0.0336480851267795,"euk"
0,0,"A3","Opiliones",0,0,"euk"
0,0,"A3","Peronosporomycetes",0,0,"euk"
0,0,"A3","Pleosporales",90,0.00431385706753583,"euk"
0,0,"A3","Polyporales",7,0.000335522216363898,"euk"
0,0,"A3","Ranunculales",0,0,"euk"
0,0,"A3","Rare",325,0.0155778171883238,"euk"
0,0,"A3","Rhabditida",2336,0.111968556775152,"euk"
0,0,"A3","Saccharomycetales",2274,0.108996788573072,"euk"
0,0,"A3","Sapindales",4,0.00019172698077937,"euk"
0,0,"A3","Schizosaccharomycetales",0,0,"euk"
0,0,"A3","Spirotrichea",30,0.00143795235584528,"euk"
0,0,"A3","Sporidiobolales",93,0.00445765230312036,"euk"
0,0,"A3","Taphrinales",0,0,"euk"
0,0,"A3","Tremellales",28,0.00134208886545559,"euk"
0,0,"A3","Trichosporonales",2563,0.122849062934381,"euk"
0,0,"A3","Ustilaginales",0,0,"euk"
0,0,"A4","Acari",1,3.84763370527126e-05,"euk"
0,0,"A4","Agaricales",3,0.000115429011158138,"euk"
0,0,"A4","Ascaridida",561,0.0215852250865718,"euk"
0,0,"A4","Asterales",0,0,"euk"
0,0,"A4","Bacillariophytina",0,0,"euk"
0,0,"A4","Capnodiales",198,0.00761831473643709,"euk"
0,0,"A4","Chaetothyriales",5,0.000192381685263563,"euk"
0,0,"A4","Chlamydomonadales",140,0.00538668718737976,"euk"
0,0,"A4","Chromulinales",8,0.000307810696421701,"euk"
0,0,"A4","Coccidia",24,0.000923432089265102,"euk"
0,0,"A4","Coleoptera",2,7.69526741054252e-05,"euk"
0,0,"A4","Collembola",0,0,"euk"
0,0,"A4","Conthreep",68,0.00261639091958446,"euk"
0,0,"A4","Cryomonadida",4,0.00015390534821085,"euk"
0,0,"A4","Diptera",1389,0.0534436321662178,"euk"
0,0,"A4","Eurotiales",1031,0.0396691035013467,"euk"
0,0,"A4","Eustigmatales",0,0,"euk"
0,0,"A4","Fabales",12,0.000461716044632551,"euk"
0,0,"A4","Filobasidiales",1388,0.0534051558291651,"euk"
0,0,"A4","Gregarinasina",0,0,"euk"
0,0,"A4","Liliopsida",628,0.0241631396691035,"euk"
0,0,"A4","Litostomatea",967,0.0372066179299731,"euk"
0,0,"A4","Malasseziales",10,0.000384763370527126,"euk"
0,0,"A4","Metakinetoplastina",8,0.000307810696421701,"euk"
0,0,"A4","Mucorales",1901,0.0731435167372066,"euk"
0,0,"A4","Opiliones",0,0,"euk"
0,0,"A4","Peronosporomycetes",0,0,"euk"
0,0,"A4","Pleosporales",144,0.00554059253559061,"euk"
0,0,"A4","Polyporales",11,0.000423239707579838,"euk"
0,0,"A4","Ranunculales",0,0,"euk"
0,0,"A4","Rare",322,0.0123893805309735,"euk"
0,0,"A4","Rhabditida",8707,0.335013466717968,"euk"
0,0,"A4","Saccharomycetales",3588,0.138053097345133,"euk"
0,0,"A4","Sapindales",10,0.000384763370527126,"euk"
0,0,"A4","Schizosaccharomycetales",0,0,"euk"
0,0,"A4","Spirotrichea",12,0.000461716044632551,"euk"
0,0,"A4","Sporidiobolales",186,0.00715659869180454,"euk"
0,0,"A4","Taphrinales",0,0,"euk"
0,0,"A4","Tremellales",50,0.00192381685263563,"euk"
0,0,"A4","Trichosporonales",4612,0.17745286648711,"euk"
0,0,"A4","Ustilaginales",0,0,"euk"
0,0,"A5","Acari",0,0,"euk"
0,0,"A5","Agaricales",0,0,"euk"
0,0,"A5","Ascaridida",1,0.000286861732644865,"euk"
0,0,"A5","Asterales",0,0,"euk"
