numBtSamps,numVarSplit,avgcvMSE,avgsqrtcvMSE,avgcvSSM,avgsqrtcvSSM
200,4,87350.66121969838,97588.10070157083,0.3986291522809833,0.3540119333213209
400,4,88856.53577869666,98148.78292509678,0.38546039847290636,0.3642604793022873
600,4,87699.88520227902,95026.05211544617,0.3965277057996639,0.3551571967884761
800,4,87550.51308257137,97252.46418415543,0.3985054429765186,0.357264870031912
1e3,4,86802.14214960086,96432.63961714965,0.39495182933461054,0.36402779843448235
200,5,82462.54388345529,96725.35335345026,0.36066931081237075,0.3538286896385753
400,5,84032.98001027519,92516.56485108631,0.3726197642438467,0.3543469108963379
600,5,86016.17787804591,91653.70965439374,0.38258457794151,0.3444934346253508
800,5,82054.71483328115,93026.95003060781,0.3659053779647947,0.350290222377677
1e3,5,82950.39270406617,92465.8356411654,0.36692327081922543,0.34314526480973384
200,6,85442.33257544086,89540.69004213765,0.36980409873840636,0.3293537830819046
400,6,82124.03084932876,88588.62865827295,0.35395704131319,0.3267119425725058
600,6,82344.54645334574,87935.11145304308,0.36107280209126946,0.32666817768753764
800,6,82038.19058151406,90865.58992076751,0.35186382971849034,0.34212566390322613
1e3,6,83932.83892681773,90474.87298832601,0.3655320019825213,0.34191902598341867
200,7,83280.41879738506,89623.15943184374,0.39051304187969726,0.3361379301271264
400,7,83788.24256893278,85342.40625061493,0.3697090108702375,0.3159353655581606
600,7,79507.76937473248,87580.77534788598,0.3321796287476264,0.3234755540579928
800,7,81283.24895663816,86728.57318352934,0.3379473588768044,0.32614324175090365
1e3,7,81781.82031745734,87658.25161279611,0.3478837690026713,0.32862522774086095
