numBtSamps,numVarSplit,avgcvMSE,avgcvErrFrac,avgsqrtcvMSE,avgsqrtcvErrFrac,avgorigUnitsqrtcvMSE,avgorigUnitsqrtcvErrFrac
600,6,5725.984626391848,0.2832120805819884,8.877406117978605,0.2322521266570948,5796.707943128203,0.2814427014366826
1200,6,5697.289219314671,0.2820768277537666,8.889931700205347,0.23249226147959615,5797.38947011436,0.28134294529511733
2400,6,5708.478124673331,0.2824888167328566,8.8835806195731,0.2322238765057109,5797.266377668974,0.281268606828128
3e3,6,5697.697798082414,0.28192503739503305,8.873913851208739,0.2320245272121947,5796.015718475908,0.28127165582115277
3600,6,5701.73443651311,0.28211831444054014,8.87864331021981,0.2320247243837835,5791.675985259372,0.280955548433442
600,7,5525.8597261099485,0.27346057030443466,8.632596487316645,0.22572874190622932,5603.568864093148,0.27222074497102683
1200,7,5520.730663862212,0.27312750882747233,8.615121053791432,0.22525481124029517,5593.2036691721,0.2716101140475144
2400,7,5528.470048830213,0.2736825253891908,8.611960710478568,0.22497633247792467,5585.205706667646,0.2710593332590034
3e3,7,5524.80439813925,0.2734911632625524,8.5965037313148,0.22468519094736977,5580.378747238449,0.27098944779395095
3600,7,5517.983791489249,0.2732239194418193,8.593427000639807,0.22462906291291782,5583.590358263254,0.2711178302809766
600,8,5393.836624638599,0.2672967578926594,8.407625340174974,0.21958329663963383,5431.800299318411,0.2638614460246632
1200,8,5384.427115012879,0.2667344111349956,8.379629446117068,0.21887484960382678,5409.889928290068,0.2627420903833174
2400,8,5384.256667087101,0.26669635714753187,8.40150406890518,0.21947585412327064,5426.828113667091,0.2636607329872366
3e3,8,5380.927630488712,0.26656281714183533,8.385675031489715,0.21906877555564996,5417.712716603786,0.26315878671357035
3600,8,5384.654360732752,0.26666246881049577,8.38293599982651,0.21898149509789247,5413.8232074955185,0.2630580369499461
600,9,5283.0470568981455,0.2618371181858947,8.205378679258022,0.21419191877306756,5272.810706981443,0.25625889191971524
1200,9,5263.960942634174,0.2608804833745185,8.220989809137125,0.21477536319893306,5286.643772999358,0.25701892461036263
2400,9,5265.373990742742,0.26099730088530987,8.204367411818222,0.21424588142859907,5270.880964801384,0.2561462811134209
3e3,9,5267.32184581376,0.2610210518134673,8.210171029474568,0.21431732060329112,5281.409486804082,0.25659823662653614
