yactual,yhat,resid
1703,1220.6959499999994,482.30405000000064
734,658.5258666666667,75.47413333333327
1130,849.7812611111117,280.2187388888883
1703,1096.724555555555,606.2754444444449
390,280.7572555555558,109.24274444444421
390,419.5634222222222,-29.563422222222187
734,444.8024166666664,289.1975833333336
209,258.0986055555555,-49.09860555555548
326,520.4361388888888,-194.43613888888876
326,324.2692111111109,1.7307888888890943
1326,1146.3363499999982,179.66365000000178
930,631.9245111111111,298.0754888888889
1516,1351.671916666665,164.32808333333492
448,405.3288888888889,42.67111111111109
27,275.44561666666664,-248.44561666666664
1703,1095.235627777777,607.7643722222231
0,25.00439999999999,-25.00439999999999
930,864.7680111111123,65.23198888888771
27,57.3280888888888,-30.3280888888888
149,349.1824277777776,-200.1824277777776
326,536.6046944444445,-210.60469444444448
1326,1248.820966666667,77.17903333333311
57,103.76857777777776,-46.768577777777764
448,511.92078333333234,-63.92078333333234
1516,1354.0535888888878,161.94641111111218
27,92.49711666666656,-65.49711666666656
1703,1386.9559500000007,316.0440499999993
209,246.43906111111062,-37.43906111111062
1703,1256.9023666666656,446.09763333333444
1130,785.2568111111109,344.7431888888891
27,33.347338888888856,-6.3473388888888564
390,292.5652777777782,97.43472222222181
27,28.757522222222217,-1.7575222222222173
930,991.3882111111114,-61.388211111111445
1516,1393.3624555555562,122.63754444444385
87,85.28484999999993,1.7151500000000652
1703,1234.224272222223,468.7757277777771
734,480.96924999999976,253.03075000000024
87,142.26729999999986,-55.267299999999864
448,439.9646444444444,8.035355555555611
1130,1287.2414444444441,-157.24144444444414
448,543.439011111111,-95.43901111111097
734,502.5463444444452,231.4536555555548
1326,1042.328605555556,283.6713944444441
1326,1158.3506388888886,167.64936111111138
390,456.4186277777777,-66.41862777777771
326,568.9124000000002,-242.91240000000016
734,621.0306611111112,112.96933888888884
448,508.85286111111117,-60.85286111111117
87,127.11625,-40.116249999999994
1516,1195.4682611111105,320.53173888888955
930,912.5713333333335,17.42866666666646
326,367.04748888888923,-41.047488888889234
1703,1289.828383333333,413.171616666667
149,234.38098888888885,-85.38098888888885
57,63.24473888888891,-6.244738888888911
326,366.3121499999993,-40.31214999999929
267,287.25393888888857,-20.25393888888857
149,319.3513277777774,-170.35132777777739
326,383.4542333333333,-57.45423333333332
1703,1210.997955555556,492.002044444444
1130,778.7531611111111,351.2468388888889
1516,1339.2109277777774,176.78907222222256
930,867.5070222222215,62.49297777777849
1516,1247.7337222222213,268.26627777777867
0,74.83645555555553,-74.83645555555553
27,34.465766666666696,-7.4657666666666955
149,339.2056944444443,-190.2056944444443
1326,1262.6414666666672,63.358533333332844
930,1175.973688888888,-245.9736888888881
149,383.8192500000002,-234.81925000000018
57,92.89287777777777,-35.89287777777777
1326,1105.9342166666668,220.06578333333323
149,477.1797388888887,-328.1797388888887
1326,1209.707472222223,116.29252777777697
