numBtSamps,numVarSplit,avgcvMSE,avgcvErrFrac,avgsqrtcvMSE,avgsqrtcvErrFrac,avgorigUnitsqrtcvMSE,avgorigUnitsqrtcvErrFrac
500,15,4187.68148502232,0.20574630583520356,6.338345295381495,0.17104807949776754,4791.716932806576,0.23004694530004224
1200,15,4171.599659004678,0.20482949783559945,6.317462474398613,0.17045222071466967,4783.615653183688,0.22968421304644945
2400,15,4168.514864109323,0.20469201615539148,6.313321705929687,0.1702354087935264,4774.662273736889,0.2291255705581096
3e3,15,4168.484837309915,0.20472002674200454,6.315859026428824,0.17048163676909897,4781.550083445352,0.22958323568886824
500,16,4164.583358913175,0.2046729483976864,6.340204639638983,0.17118763492719083,4787.6097801015585,0.229987184021346
1200,16,4160.837538011341,0.20449007212510004,6.323928724943295,0.1707114739196992,4782.887251002862,0.22978270635243084
2400,16,4154.005332636158,0.204076973813521,6.307247731406691,0.17028627211031402,4775.855135298276,0.22941796027027933
3e3,16,4156.914059983318,0.2042532320814748,6.30566832729251,0.17013985204421309,4775.674937591795,0.22931393422744376
500,17,4163.7282345339945,0.2047591872366613,6.314283093839451,0.1705960008263285,4777.018169999319,0.22972852510318229
1200,17,4155.583541139945,0.20440763093797767,6.318981480137352,0.17061912099928242,4780.329657086283,0.22975492532725014
2400,17,4146.508301172156,0.2038289725845356,6.314550312663127,0.1705683493372521,4779.34795477287,0.2297605633082525
3e3,17,4153.563464256945,0.2042766527200476,6.305197270571393,0.17019059809392784,4768.464478976746,0.22912753809639727
500,18,4153.788653496874,0.20440881062545765,6.369898417450896,0.1720123577039297,4808.586618788955,0.23131393416120402
1200,18,4157.668110621224,0.20465796024599375,6.331622550428702,0.171071428879602,4789.2993485097595,0.23034607608171173
2400,18,4143.659282576162,0.20391925884987191,6.321200647213412,0.17071569666702877,4780.61623589895,0.229860537028632
3e3,18,4144.900536479709,0.20396790025145803,6.316390801615498,0.17060195789688462,4780.38249242847,0.22978092482226545
500,19,4165.178361315522,0.20514363670069174,6.366291410667353,0.1720635772159003,4813.82332492847,0.2315408669521284
1200,19,4155.078659810161,0.204786041287114,6.330982248531688,0.1710046819014382,4785.223737012511,0.23015666783072478
2400,19,4144.862587614259,0.20409236751975254,6.322910377655552,0.17075998847713114,4780.159767873623,0.2299342332548188
3e3,19,4141.649010489724,0.20397123934392875,6.329543816942403,0.17104399999840947,4788.763314393642,0.23032943626117505
500,20,4163.231577216738,0.205128987444384,6.369623205670771,0.17225449903731088,4812.791632671517,0.23168795403817696
1200,20,4149.979100577912,0.20457115801963288,6.3600697439210885,0.17200305577926178,4805.685239906806,0.2313176266199907
2400,20,4157.854089107656,0.20495268781479858,6.34671942442896,0.17155970770921394,4797.921737144589,0.2308570680428222
3e3,20,4150.690492938279,0.20452347906029858,6.34828328009584,0.17159445323225148,4798.335354840969,0.230969635893574
500,21,4170.579808167169,0.2058007887158033,6.375730471221808,0.17233940638233508,4819.210946944314,0.23189516064717958
1200,21,4165.71068241163,0.2054345728918697,6.375836679330664,0.17237331160956448,4822.503540412413,0.23220600328723676
2400,21,4154.177284844495,0.20497021479328814,6.374225111523113,0.17233891672422577,4813.505920385102,0.2317448410421494
3e3,21,4156.579854821208,0.20510928517288987,6.366211361766998,0.1722128078596367,4810.605078703873,0.23174195302465184
