"","numBtSamps","numVarSplit","avgcvMSE","avgsqrtcvMSE","avgcvSSM","avgsqrtcvSSM"
"1",200,7,4014.32125140826,4613.2592219413,0.218238381422586,0.247928821398858
"2",400,7,4303.37589061063,4288.43968497215,0.23622572832261,0.224983474570984
"3",600,7,4167.53011129927,4241.84167274896,0.22617046157985,0.224171913302443
"4",800,7,4274.26773806837,4365.78686035323,0.233036191346685,0.227889880294057
"5",1000,7,4272.40665134372,4319.79043548828,0.233082502844711,0.227473499993458
"6",200,8,4168.07894321007,4465.7189777616,0.226706989954895,0.234065145928618
"7",400,8,4271.49511081557,4248.07000660542,0.231141956502669,0.220377013954588
"8",600,8,4161.72563968194,4457.97561098293,0.227472707377395,0.228535648631258
"9",800,8,4254.47972618971,4264.00700809384,0.233714077692632,0.225394621377781
"10",1000,8,4146.24195768291,4320.77931712175,0.226994537972431,0.225337257962747
"11",200,9,4190.68623957118,4072.62207672111,0.227394554793902,0.21991949328021
"12",400,9,4133.20517820153,4190.18619267925,0.222709893085138,0.21781178540746
"13",600,9,4285.44092864641,4248.76590618462,0.232031567678616,0.225117513185632
"14",800,9,4132.66069428416,4282.27239340768,0.226433756978007,0.225408096403725
"15",1000,9,4230.39077621833,4186.02536035423,0.230927726086516,0.220048702138109
"16",200,10,4125.08801256757,4075.1539296108,0.223064786114405,0.209857250261295
"17",400,10,3931.71354686076,4270.84594714886,0.212701272103932,0.220445209313632
"18",600,10,4117.6561644579,4227.81906182619,0.220981085953897,0.222745211480413
"19",800,10,4200.98453099824,4175.3278168919,0.229218992850219,0.219134084432137
"20",1000,10,4095.68870720663,4134.23090115512,0.220979277544474,0.216876187353496
"21",200,11,4320.72996047852,3954.10248366673,0.235814633597011,0.212008322132824
"22",400,11,4124.38826754323,4126.78158888568,0.227005630709737,0.215514855384918
"23",600,11,4130.92411195286,4150.44762548234,0.223219219692851,0.220121621791443
"24",800,11,4103.38361093457,4142.13310228862,0.223844342553557,0.21526478887041
"25",1000,11,4179.05174124805,4247.19811523783,0.228738238355275,0.222026805060113
"26",200,12,4074.24373232306,4118.1979955676,0.220750518129819,0.224078827472905
"27",400,12,4132.27719763609,4128.93713367293,0.221571633798973,0.214846085020234
"28",600,12,4084.4016389536,4014.8230021024,0.221624726078729,0.210027952118394
"29",800,12,4091.15535395386,4000.37584376153,0.2192829814991,0.209107270541605
"30",1000,12,4098.7111385702,4180.21932071014,0.222276827380675,0.217246441616113
"31",200,13,4026.11985207836,3933.2677868119,0.219420108859241,0.208223728922958
"32",400,13,4072.97772558408,4150.16458780131,0.223824926962327,0.218147255793012
"33",600,13,4000.0791077693,4151.71015955761,0.217047658967546,0.215979659651229
"34",800,13,4064.29548311554,4121.5192099633,0.216874981248074,0.214573602385986
"35",1000,13,3998.77620582345,4161.48931574947,0.216441298238393,0.219397310992604
"36",200,14,4002.08693740065,4120.93513746838,0.219217428659747,0.220588278526787
"37",400,14,4025.45958315483,3882.0272179587,0.220247643887425,0.2052918727988
"38",600,14,3966.83747849303,4069.20505194556,0.21455087460221,0.214464413962586
"39",800,14,4007.30472220632,4022.89199674783,0.2168242238101,0.212332473694095
"40",1000,14,3982.21198772723,4033.93408073687,0.214957175221671,0.213228507014355
"41",200,15,4182.47202273824,4167.12728695802,0.22318851222421,0.218989806050391
"42",400,15,4065.98908835148,4297.80299329489,0.220166366648148,0.228083585226884
"43",600,15,3933.88337930315,3940.69952551109,0.215510165215041,0.208420130517822
"44",800,15,3997.32628293472,3986.60675253098,0.219065849355022,0.210741289163051
"45",1000,15,4046.18555711965,4033.11889351063,0.21982837431428,0.211488180969435
"46",200,16,4009.83823813773,4044.64503959051,0.218967428023783,0.211889918437808
"47",400,16,4059.95630690145,3958.7251238218,0.217644387768282,0.208111961868919
"48",600,16,4074.64179828217,4050.26605016236,0.221032104108432,0.216196732493964
"49",800,16,4058.0874455414,4070.22786306452,0.220682979671367,0.212848286777832
"50",1000,16,4051.06459860865,4067.45207076063,0.219655203381417,0.212316368960035
"51",200,17,4136.39754238859,3871.91228323568,0.222072784913711,0.204760545862709
"52",400,17,4012.12799329998,4072.89273117858,0.218278524854567,0.211855591698713
"53",600,17,4092.11204198292,4014.33122384094,0.22205165172075,0.211486424985553
"54",800,17,4010.29882840634,3966.04972390423,0.218058552145066,0.207388055057657
"55",1000,17,4091.27635368855,3966.1226911127,0.222057729214077,0.208698414983667
