cvMSE,cvErrFrac
74899.29997237927,0.22508848679800672
116633.00147391533,1.1362584440417183
200210.59480840413,0.5227906566191222
182900.73007887474,0.36884057902849715
50696.03530639733,0.17753133077581745
53308.49995252751,0.14191807276435478
145428.56172268625,0.4274480231440644
29827.32285081261,0.13346720221098163
182350.31699140227,0.6003276265170927
37645.296644945374,0.11698649983029345
40975.60604621883,0.1288796748537242
108304.41393167614,0.32236228160658165
71742.5981863087,0.2029520234358991
86207.87410444362,0.7455816934845914
23394.815534826914,0.0855172452561564
90253.54900324169,0.3624533775574548
105846.1621241373,0.43269387014625893
51260.57275623826,0.18038967660745148
53105.64009157301,0.1651985262334563
144931.9837984117,0.2737141692881185
34153.911030365736,0.1167934189214966
42513.428360041544,0.1537221232425576
67753.94240054548,0.24374844370024754
48008.51309349672,0.12858424751190728
49942.72125602582,0.22094629018832948
103246.92815783442,0.24660060046292934
7861.725813548976,0.04954551551452561
117515.55756906369,0.6481216298115791
44369.551471785955,0.2363986176026332
41932.53079860533,0.19750488710890668
44347.2697110805,0.346598568402182
196053.50393535843,0.4121818945060795
48692.33854592674,4.025564907068955
150810.0525059237,0.47150570672622505
138804.02670203862,0.3149395930303731
31626.157860345356,0.15251685113316468
41494.42233320242,0.17366816148610048
91219.44314091148,0.29359847198633304
75241.47541643484,0.2425297819338992
136544.0651931454,0.3099520692854774
43000.477609333226,0.30944527786740034
109552.72199500361,0.3027957733883639
110955.1167764133,0.3524256804453158
33650.42196936518,0.3179896084353052
112625.6622543546,0.2987728052804745
64078.7313568561,0.20259343054451845
103808.49491287205,0.2579696295805094
50889.33373133424,0.19310129551182886
88029.88781972561,0.622628794331546
70485.39201798761,0.23649680850400964
79659.76029854454,0.32994546577285305
68099.72674235892,0.1610972902957038
68312.07443904108,0.26085484572398354
72594.59302938564,0.22547320019559783
29586.34074736078,0.12871772316115368
11628.552771069495,0.10307773245378245
169770.2190963159,0.5929189488207617
56078.49534575319,0.3463865038422085
73232.27008908136,0.2934031909347831
98495.56104174606,0.2784585702748381
116820.01496248112,0.3919019973836662
95557.47071183746,0.307379962693352
93679.39221665532,0.4853027520640685
62918.85259492278,0.27219876729226605
82832.686176185,0.2839927083745207
134749.974741573,0.4378902771296608
8719.772842983679,0.07226597258356948
64669.92291906692,0.2649425140334278
64523.22611136007,0.24118178551487243
122408.8610462666,0.4058724666325869
80961.26627849901,0.2598793088760995
105589.70866964577,0.3757784182552767
65044.88006447693,0.28102967381779775
116356.09029252082,0.358598381463332
88549.13350367326,0.3103115806919474
100535.37603044619,0.408837802975538
113120.40267520373,0.32657937510528673
119755.5715250219,0.3687613916783904
20222.165552104547,0.1613539317000554
24402.881796965867,0.11643170974266089
117747.17694829221,0.7798953632420799
89977.74712563331,0.24170254522916373
121984.5397315734,0.32193086159504425
90612.37779580496,0.23327593083280845
24284.48951472379,0.2248891871622595
123449.80145359009,0.4234952327721194
8015.611404746239,0.04784062342431178
47766.307235544526,0.1574318852474462
58586.08131526193,0.1934752293008121
109029.82603499897,0.3988085127782471
35105.22728707057,0.16651956594663478
118666.83550551072,0.6123995359701625
20481.011545994133,0.06317728864981305
213932.36557675977,1.1819703121921221
108290.86116783338,0.3772923858469587
45105.497801160156,0.13617139761122413
45577.983957344484,0.20622651211115287
112624.01088008216,0.47386889551231387
123403.77237582709,0.362456572189798
78269.61007351468,0.3114635976708752
